Top 10,,,,,,,
Spring 2000  Feeder Patterns Undergraduate Transfer,,,,,,,
Texas County   Students  % Total,,,,,,,
Brazos,,,133,,16.8%,,
Harris,,,121,,15.3%,,
Bexar,,,33,,4.2%,,
Montgomery,,,28,,3.5%,,
Dallas,,,26,,3.3%,,
Tarrant,,,23,,2.9%,,
Fort Bend,,,18,,2.3%,,
Brazoria,,,16,,2.0%,,
McLennan,,,15,,1.9%,,
Bell,,,15,,1.9%,,
State,Students  % Total,,,,,,
Texas,732,,,92.4%,,,
Oklahoma,2,,,0.3%,,,
California,2,,,0.3%,,,
Louisiana,1,,,0.1%,,,
Florida,1,,,0.1%,,,
Virginia,1,,,0.1%,,,
Tennessee,1,,,0.1%,,,
Maryland,1,,,0.1%,,,
New Mexico,1,,,0.1%,,,
Alaska,1,,,0.1%,,,
Country,,Students  % Total,,,,,
United States,,743,,,93.8%,,
Mexico,,7,,,0.9%,,
Japan,,5,,,0.6%,,
Ecuador,,4,,,0.5%,,
"Viet Nam, (South)",,3,,,0.4%,,
Taiwan,,2,,,0.3%,,
Panama,,2,,,0.3%,,
Indonesia,,2,,,0.3%,,
Guatemala,,2,,,0.3%,,
Honduras,,2,,,0.3%,,
