Top 10,,,,,,,,,
Spring 2000 Feeder Patterns Main Campus,,,,,,,,,
Texas County   Students  % Total,,,,,,,,,
Harris,,6495,,,16.0%,,,,
Brazos,,2434,,,6.0%,,,,
Dallas,,2357,,,5.8%,,,,
Tarrant,,1983,,,4.9%,,,,
Bexar,,1935,,,4.8%,,,,
Collin,,1051,,,2.6%,,,,
Fort Bend,,1041,,,2.6%,,,,
Travis,,990,,,2.4%,,,,
Montgomery,,978,,,2.4%,,,,
Denton,,611,,,1.5%,,,,
State,Students  % Total,,,,,,,,
Texas,34757,,,85.6%,,,,,
Louisiana,434,,,1.1%,,,,,
California,264,,,0.6%,,,,,
Oklahoma,128,,,0.3%,,,,,
Illinois,110,,,0.3%,,,,,
New Mexico,104,,,0.3%,,,,,
Arkansas,97,,,0.2%,,,,,
Florida,95,,,0.2%,,,,,
New York,91,,,0.2%,,,,,
Missouri,88,,,0.2%,,,,,
Country,,,Students  % Total,,,,,,
United States,,,37498,,,,92.3%,,
India,,,475,,,,1.2%,,
"China, People's Rep of",,,465,,,,1.1%,,
"Korea, Republic of",,,438,,,,1.1%,,
Other Foreign,,,148,,,,0.4%,,
Mexico,,,141,,,,0.3%,,
Taiwan,,,103,,,,0.3%,,
Indonesia,,,84,,,,0.2%,,
Turkey,,,73,,,,0.2%,,
Thailand,,,62,,,,0.2%,,
