Students by Country by Level,,,,,,
Country,Undergraduate,Masters,PhD,Professional,Total Students,
Honduras,20,5,2,,27,
Hong Kong,11,3,3,,17,
Iceland,,2,1,,3,
India,37,371,67,,475,
Indonesia,43,19,22,,84,
Iran,3,3,7,,13,
Israel,1,1,,,2,
Italy,1,4,6,,11,
Jamaica,3,,,,3,
Japan,29,6,9,,44,
Jordan,4,3,5,,12,
Kazakhstan,,11,1,,12,
Kenya,4,1,,,5,
"Korea, (North)",,,1,,1,
"Korea, Republic of",17,118,301,,438,
Kuwait,2,4,2,,8,
Laos,,1,,,1,
Lebanon,2,1,2,,5,
Liberia,,1,,,1,
Lithuania,,1,,,1,
Malaysia,5,6,4,,15,
Malta,,1,,,1,
Mauritius,,1,,,1,
Mexico,42,36,63,,141,
Morocco,1,4,1,,6,
Nepal,,2,2,,4,
Netherlands,1,,3,,4,
Netherlands Antilles,1,,,,1,
Nicaragua,22,3,1,,26,
Niger,,,1,,1,
Nigeria,10,8,4,,22,
Norway,4,5,2,,11,
Oman,2,,,,2,
Other Foreign,118,11,,18,148,
Pakistan,10,15,6,,31,
Panama,31,1,,,32,
Paraguay,2,2,,,4,
Peru,7,12,3,,23,
Philippines,3,3,5,,11,
Poland,4,,,,4,
Portugal,2,,4,,6,
Qatar,,1,,,1,
