Spring 2000,,White,,Black,,Hispanic,,Asian,,Am. Indian,,International,,Unknown/Other,,Total,,
,,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,#,% chg,
"Agriculture               ADEV AGBL AGBU AGEC AGED AGEN AGJR AGLS AGRO AGSC AGSM ANBR ANSC BESC BICH BSEN DASC ENTO FISC FLOR FORS FSTC GENE HORT NRDV NUSC NUTR PLBR PLPA POSC PPHY PREP PSSC RENR RLEM RPTS RRDV RSOC SOSC TOXI WFSC
WISC",,"545
216
186
288
42
130
46
129
120
78
139
1
722
120
182
13
13
80
2
5
43
76
202
138
6
178
49
9
16
113
7
18
7
24
105
236
4
1
30
1
425
5",,"33
1
3
12
2
3
4
15
3
6
14
1
5
4
3
3
2
1",,"36
13
11
22
3
13
6
16
5
4
7
31
13
23
2
1
6
2
16
19
7
19
4
1
2
13
1
2
1
6
17
34",,"2
1
5
7
1
2
4
24
2
5
8
5
2
7
1
3
1
4
7",,"1
2
2
1
1
5
1
1
1
1
1
1
2",,"1
6
8
47
3
18
1
11
3
15
26
5
10
1
9
29
18
7
3
9
12
18
6
18
4
2
1
12
15
1
7
28",,"5
5
5
4
3
1
1
6
1
12
3
11
1
1
3
3
11
5
3
1
1
3
4
1
9",,"623
243
214
378
50
167
59
170
143
83
150
1
790
147
280
23
15
102
2
6
57
138
260
160
6
213
63
22
36
140
26
25
9
26
127
279
6
1
38
1
505
5",,
,SubTotal,4750,,115,,356,,91,,20,,354,,103,,5789,,
"Prepared by OISP, 10 Apr 00",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
