Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Education,ATTR,,,,,,1,1,,,,,1,
EDAD,,,,,,,1,1,2,2,,,3,
EDCI,,,,,,,2,2,1,1,,,3,
EDHL,,,,,,,,,,,,,,
EDIS,,,,1,,1,,,,,,,1,
EDKI,,,,1,,1,,,,,,,1,
EPSY,,,,,,,,,1,1,,,1,
SPED,,,,,,,1,1,,,,,1,
SPMT,,,,,,,1,1,,,,,1,
USEH,,,,,,,,,,,,,,
Subtotal,,,,2,,2,6,6,4,4,,,12,
Engineering,AERL,1,,,,1,,,,,,,1,
AERO,,,,,2,2,,,,,,,2,
BMEN,,,,1,1,2,1,1,,,,,3,
CECL,,,,,,,,,,,,,,
CECN,,,,,,,,,1,1,,,1,
CEEL,,,,,,,,,,,,,,
CEEN,,,,1,,1,,,1,1,,,2,
CHEL,,1,,,,1,,,,,,,1,
CHEN,,,,1,2,3,,,,,,,3,
CPSC,,,,,,,3,3,3,3,,,6,
CPSL,,1,,,,1,,,,,,,1,
CVEL,,,,,,,,,,,,,,
CVEN,,,,,,,1,1,3,3,,,4,
ELEL,,,,,,,,,,,,,,
ELEN,,,,1,1,2,1,1,4,4,,,7,
ENGE,,1,,,,1,,,,,,,1,
ENGR,,,,,,,,,1,1,,,1,
IDIL,,,,,,,,,,,,,,
IDIS,,,,,,,4,4,,,,,4,
INEL,,,,,,,,,,,,,,
INEN,,,,,2,2,,,,,,,2,
MEEN,,,1,,3,4,1,1,,,,,5,
MSEN,,,,,,,1,1,,,,,1,
NUEL,,,,,,,,,,,,,,
NUEN,,,,,,,,,1,1,,,1,
OCEL,,,,,,,,,,,,,,
OCEN,,,,,,,,,1,1,,,1,
PETE,,,,1,3,4,8,8,1,1,,,13,
RHEN,,,,,,,,,,,,,,
SENG,,,,,,,1,1,,,,,1,
Subtotal,,4,1,5,14,24,21,21,16,16,,,61,
G. Bush School of,CAIA,,,,,,,,,,,,,
Govt,INTA,,,,,,2,2,,,,,2,
PSAA,,,,,,,2,2,,,,,2,
Subtotal,,,,,,,4,4,,,,,4,
Geosciences,ATMO,,,,,,,,,,,,,
GEOG,,,,,,,,,1,1,,,1,
GEOL,,,,1,,1,,,1,1,,,2,
GEOP,,,,,,,,,1,1,,,1,
OCNG,,,,,,,,,1,1,,,1,
WMHS,,,,,,,,,,,,,,
Subtotal,,,,1,,1,,,4,4,,,5,
