Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,"2 or
More/Excluding Black",,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Education,ATTR,9,3,,,,,4,2,,1,,,,,,,1,,14,6,20,
BIED,,3,1,,,,,,,13,1,,,,,1,,,,17,2,19,
CPSY,,10,4,,,3,,5,2,11,4,,,1,,1,,,,31,10,41,
EDAD,,57,46,,,5,,24,8,31,18,,,,,3,,1,2,121,74,195,
EDCI,,173,47,,,6,,34,11,36,9,,,5,1,39,17,2,1,295,86,381,
EDHL,,634,53,1,,29,4,46,3,157,29,1,,19,5,,,,,887,94,981,
EDIS,,475,23,2,,8,2,16,2,92,11,,,15,,2,,1,,611,38,649,
EDKI,,387,191,1,1,2,14,23,7,92,68,,,12,4,3,,1,,521,285,806,
EDSM,,68,165,,,6,6,10,33,16,37,,1,2,8,1,2,,,103,252,355,
EHRD,,52,23,,,4,3,14,9,13,9,,,2,,27,7,,,112,51,163,
EPSY,,49,8,,,5,,3,,17,7,,,2,,35,10,,1,111,26,137,
GENE,,1,,,,,,,,,,,,,,,,,,1,,1,
HEED,,27,5,,,3,,5,3,12,3,,,2,,10,4,,,59,15,74,
HLTH,,203,17,1,,12,,8,3,38,9,1,,3,1,1,,,,267,30,297,
HRDL,,80,19,1,,7,1,5,3,29,5,,,2,1,1,1,,,125,30,155,
HRDV,,53,14,,,3,1,4,,16,9,,,1,1,1,,,,78,25,103,
INST,,637,25,,,3,,11,,108,13,,,15,1,1,,,,775,39,814,
KINE,,131,112,,,5,4,5,8,24,16,,,10,7,9,17,,,184,164,348,
NUTR,,2,,,,,,,,,,,,,,,,,,2,,2,
SPED,,39,2,,,1,,2,,6,,,,,,,,1,,49,2,51,
SPMT,,61,127,,,1,2,11,12,16,28,,,,2,4,5,,1,93,177,270,
SPSY,,22,4,,,2,,3,,8,,,,1,1,2,,,,38,5,43,
TCMG,,3,28,,,1,1,1,2,6,14,,,,,,,,,11,45,56,
TCML,,10,47,,,,5,,6,7,36,,,,5,,,,,17,99,116,
TECR,,,1,,,,,,,1,,,,,,,,,,1,1,2,
USEH,,32,14,,,1,,1,,5,10,,,,,,1,,,39,25,64,
Subtotal,,"3,218",979,6,1,107,43,235,114,754,337,2,1,92,37,141,64,7,5,"4,562","1,581","6,143",
Engineering,AERL,28,202,,,3,9,1,5,10,89,,1,3,6,,2,1,,46,314,360,
