Feeder Patterns:  Country,,,,,,,,
(College Station),,,,,,,,
Country,,,,,,,,
,Undergraduate,Masters,,Doctoral,,Professional,Total,
South Korea,64,82,,303,,,449,
Spain,9,,,5,,,14,
Sri Lanka,2,,,11,,,13,
Sudan,1,,,,,,1,
Sweden,2,1,,,,,3,
Switzerland,1,1,,1,,,3,
Syria,3,,,,,,3,
Taiwan,5,45,,132,,,182,
Tanzania,1,,,,,,1,
Thailand,1,6,,30,,,37,
The Bahamas,1,,,1,,,2,
Trinidad and,4,,,1,,,5,
Tunisia,1,1,,2,,,4,
Turkey,32,,,65,,,97,
Turkmenistan,1,,,,,,1,
Uganda,1,,,1,,,2,
Ukraine,1,,,3,,,4,
United Arab,15,12,,4,,,31,
United,20,3,,6,,,29,
United States,"41,348","3,489",,"2,390",,527,"47,754",
Uruguay,1,,,,,,1,
Uzbekistan,1,,,2,,,3,
Venezuela,6,10,,8,,,24,
Vietnam,28,7,,14,,,49,
Zambia,1,,,,,,1,
Zimbabwe,1,1,,1,,,3,
Total,42029,5246,,4647,,527,52449,
