Headcount by Major by Ethnic Origin by Gender,,,,,,,,,,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,,,,,,,,,,
Fall 2013,,White Only,,American Indian Only,,Asian Only,,Black Only + 2 or more/1 Black,,Hispanic or Latino of any Race,,Native Hawaii Only,,"2 or
More/Excluding Black",,International,,Unknown or Not Reported,,Total,,Total,
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,,
Geosciences,ATMO,8,21,,,,,1,1,,2,,,,,4,19,,,13,43,56,
ENGS,,53,46,,1,2,2,1,2,15,10,,,,4,1,2,,,72,67,139,
ENST,,45,32,,1,3,,4,3,17,12,,,2,,,1,,,71,49,120,
GEOG,,37,67,,1,1,1,3,1,13,17,,,,3,4,12,,1,58,103,161,
GEOL,,63,195,,,3,9,3,4,23,24,,,,5,18,20,1,1,111,258,369,
GEOP,,13,58,,,2,8,,2,7,18,,,,1,8,20,1,,31,107,138,
GEOS,,1,2,,,,,,,1,1,,,,,,1,,,2,4,6,
MARB,,3,,,,,,,,,,,,,,,,,,3,,3,
METL,,20,25,,,1,1,1,2,4,5,,,2,1,,,,,28,34,62,
METR,,24,31,,,2,,1,3,7,10,,,,,1,,,,35,44,79,
OCNG,,19,12,1,,,,1,,1,2,,,1,,9,16,,1,32,31,63,
SPSG,,,2,,,,,,,,,,,,,,,,,,2,2,
USGE,,3,3,,,,1,1,,,1,,,,,,1,,,4,6,10,
WMHS,,3,11,,,,2,,,3,,,,1,,8,7,,,15,20,35,
Subtotal,,292,505,1,3,14,24,16,18,91,102,,,6,14,53,99,2,3,475,768,"1,243",
Liberal Arts,ANTH,125,66,2,,5,3,7,2,41,15,,,9,3,8,6,2,,199,95,294,
CLSS,,6,10,,,,,,,1,1,,,,,,,1,,8,11,19,
COMM,,554,120,3,,13,2,21,7,107,32,,1,15,2,5,3,4,,722,167,889,
ECON,,119,386,,3,15,43,9,16,39,108,,1,4,18,102,115,4,3,292,693,985,
ENGL,,347,121,4,,4,6,19,3,97,34,1,1,5,5,15,8,2,,494,178,672,
FREN,,3,,,,,,,,1,,,,,,,,,,4,,4,
GERM,,,1,,,,,,,,,,,,,,,,,,1,1,
HISP,,5,2,,,,,,,14,3,,,,,5,9,1,1,25,15,40,
HIST,,165,348,,1,5,6,12,5,47,68,1,,10,11,1,4,2,2,243,445,688,
INTS,,274,206,2,,19,8,14,10,120,61,1,1,9,9,5,1,1,1,445,297,742,
MODL,,6,3,,,1,,,,2,1,,,1,,,,,,10,4,14,
MUSC,,9,12,,,1,,,1,2,5,,,1,1,,,,,13,19,32,
NRSC,,3,7,,,,,,1,2,1,,,,,2,1,,,7,10,17,
PERF,,3,1,,,,,2,,,,,,1,,1,,1,,8,1,9,
PHIL,,18,60,,,1,4,1,1,9,18,,,1,4,,,,2,30,89,119,
POLS,,191,307,,2,12,13,25,8,90,118,,,4,16,5,9,3,3,330,476,806,
PSYC,,689,195,5,,39,20,52,20,262,72,,,18,9,6,12,1,,"1,072",328,"1,400",
RUSS,,2,4,,,,,,,1,,,,,,,,,,3,4,7,
SOCI,,193,94,2,1,9,5,38,22,115,46,,,7,6,7,4,1,1,372,179,551,
SPAN,,16,6,,,1,,,,25,16,,,1,,,1,,,43,23,66,
TCMS,,103,48,,1,2,2,10,3,27,26,,,5,1,,,1,,148,81,229,
THAR,,20,10,,,1,,1,2,6,4,,,,,,,,,28,16,44,
USLA,,7,5,,,,1,,,2,2,,,,,,,,,9,8,17,
WGST,,5,,,,2,,1,,5,,,,,,,,,,13,,13,
Subtotal,,"2,863","2,012",18,8,130,113,212,101,"1,015",631,3,4,91,85,162,173,24,13,"4,518","3,140","7,658",
