Ethnicity Hispanic or Latino of any Race,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering,AERL,53,34,12,,99,,,,,,,99,
AERO,,1,7,15,34,57,2,2,2,2,,,61,
BIOT,,,,,,,4,4,,,,,4,
BMEL,,24,7,2,,33,,,,,,,33,
BMEN,,,7,11,23,41,2,2,13,13,,,56,
CECL,,33,16,11,,60,,,,,,,60,
CECN,,,4,3,12,19,1,1,,,,,20,
CEEL,,18,8,4,3,33,,,,,,,33,
CEEN,,,4,7,14,25,,,,,,,25,
CHEL,,29,9,6,1,45,,,,,,,45,
CHEN,,,9,17,39,65,,,4,4,,,69,
CPSC,,1,2,12,21,36,2,2,6,6,,,44,
CPSL,,21,17,12,7,57,,,,,,,57,
CVEL,,54,16,3,,73,,,,,,,73,
CVEN,,1,22,31,56,110,12,12,1,1,,,123,
ELEL,,56,28,7,5,96,,,,,,,96,
ELEN,,,9,24,60,93,6,6,12,12,,,111,
ENGE,,50,1,2,,53,,,,,,,53,
ENGR,,,,,,,,,,,,,,
ENSM,,,,,,,1,1,,,,,1,
ENTC,,,1,15,52,68,,,,,,,68,
ENTL,,5,27,21,7,60,,,,,,,60,
HLPH,,,,,,,1,1,,,,,1,
IDIL,,2,4,7,4,17,,,,,,,17,
IDIS,,,1,15,40,56,11,11,,,,,67,
INEL,,20,16,10,3,49,,,,,,,49,
INEN,,1,7,32,55,95,7,7,1,1,,,103,
ITDE,,,,,,,,,,,,,,
MEEL,,58,13,6,3,80,,,,,,,80,
MEEN,,,19,30,57,106,15,15,8,8,,,129,
MSEN,,,,,,,,,2,2,,,2,
NUEL,,11,5,5,,21,,,,,,,21,
NUEN,,2,2,3,16,23,9,9,6,6,,,38,
OCEL,,2,2,1,,5,,,,,,,5,
OCEN,,,,6,9,15,3,3,,,,,18,
PETE,,,10,14,37,61,23,23,1,1,,,85,
PETL,,31,12,1,,44,,,,,,,44,
RHEL,,1,,,,1,,,,,,,1,
RHEN,,,3,2,5,10,,,,,,,10,
SENG,,,,,,,1,1,,,,,1,
USEN,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,
Subtotal,,474,322,347,563,"1,706",100,100,56,56,,,"1,862",
G. Bush School of,CAIA,,,,,,12,12,,,,,12,
Govt,CHLS,,,,,,6,6,,,,,6,
CNPM,,,,,,,2,2,,,,,2,
INTA,,,,,,,18,18,,,,,18,
PSAA,,,,,,,10,10,,,,,10,
Subtotal,,,,,,,48,48,,,,,48,
