Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity American Indian Only,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture         AGEC,,,1,,1,,,,,,,1,
ALEC,,2,3,3,8,,,,,,,8,
ANSC,,1,3,3,7,,,,,,,7,
BAEN,,,,,,,,,,,,,
BCBP,,,,,,,,1,1,,,1,
CLAG,,,,,,,,,,,,,
ENTO,,,1,,1,,,,,,,1,
ESSM,,,1,,1,,,,,,,1,
HRSC,,,,,,,,,,,,,
NFSC,,1,,,1,,,,,,,1,
PLPM,,1,,,1,,,,,,,1,
POSC,,,,1,1,,,,,,,1,
RPTS,,,,,,,,,,,,,
SCSC,,,,,,,,,,,,,
WFSC,,1,,,1,,,,,,,1,
Subtotal,,6,9,7,22,,,1,1,,,23,
Architecture       ARCH,,,,,,,,,,,,,
CLAR,,,,,,,,,,,,,
COSC,,1,,1,2,,,,,,,2,
LAUP,,,,,,,,,,,,,
VIZA,,1,,,1,,,,,,,1,
Subtotal,,2,,1,3,,,,,,,3,
Business              ACCT,,,,,,,,,,,,,
Admin                  CLBA,2,4,,,6,1,1,,,,,7,
FINC,,,,1,1,,,,,,,1,
INFO,,,,1,1,,,,,,,1,
MGMT,,,,,,,,,,,,,
MKTG,,,,,,,,,,,,,
Subtotal,2,4,,2,8,1,1,,,,,9,
Education            CLED,,,,,,,,,,,,,
EAHR,,,1,,1,,,,,,,1,
EPSY,,,,,,,,,,,,,
HLKN,,,1,3,4,,,,,,,4,
TLAC,,2,,,2,,,,,,,2,
Subtotal,,2,2,3,7,,,,,,,7,
Engineering        AERO,,,,2,2,,,1,1,,,3,
BMEN,,,,1,1,,,,,,,1,
CHEN,1,,1,1,3,,,,,,,3,
CLEN,1,,,,1,,,,,,,1,
CSCE,,1,3,1,5,1,1,,,,,6,
CVEN,2,,,2,4,,,1,1,,,5,
ECEN,1,,,1,2,,,,,,,2,
ETID,,,2,,2,,,,,,,2,
ISEN,,1,1,1,3,,,,,,,3,
MEEN,1,,,2,3,,,,,,,3,
MSEN,,,,,,,,,,,,,
NUEN,,,,,,1,1,,,,,1,
PETE,,1,1,2,4,3,3,,,,,7,
Subtotal,6,3,8,13,30,5,5,2,2,,,37,
G. Bush School   BUSH,,,,,,,,,,,,,
of Govt                 Subtotal,,,,,,,,,,,,,
