Ethnicity Hispanic or Latino of any Race,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,,,2,2,,,2,
ENGS,,8,6,3,8,25,,,,,,,25,
ENST,,5,10,5,9,29,,,,,,,29,
GEOG,,3,7,3,9,22,5,5,3,3,,,30,
GEOL,,19,3,7,8,37,9,9,1,1,,,47,
GEOP,,15,2,3,2,22,2,2,1,1,,,25,
GEOS,,,,,,,2,2,,,,,2,
MARB,,,,,,,,,,,,,,
METL,,4,3,2,,9,,,,,,,9,
METR,,1,1,4,11,17,,,,,,,17,
OCNG,,,,,,,2,2,1,1,,,3,
SPSG,,,,,,,,,,,,,,
USGE,,,1,,,1,,,,,,,1,
WMHS,,,,,,,3,3,,,,,3,
Subtotal,,55,33,27,47,162,23,23,8,8,,,193,
Liberal Arts,ANTH,7,10,10,27,54,,,2,2,,,56,
CLSS,,,,2,,2,,,,,,,2,
COMM,,27,33,37,37,134,1,1,4,4,,,139,
ECON,,43,22,30,49,144,3,3,,,,,147,
ENGL,,17,27,30,47,121,,,10,10,,,131,
FREN,,,,,1,1,,,,,,,1,
GERM,,,,,,,,,,,,,,
HISP,,,,,,,,,17,17,,,17,
HIST,,16,26,28,38,108,2,2,5,5,,,115,
INTS,,37,42,40,62,181,,,,,,,181,
MODL,,2,,1,,3,,,,,,,3,
MUSC,,2,4,,1,7,,,,,,,7,
NRSC,,,,,,,,,3,3,,,3,
PERF,,,,,,,,,,,,,,
PHIL,,3,6,5,7,21,1,1,5,5,,,27,
POLS,,40,64,45,53,202,,,6,6,,,208,
PSYC,,41,84,94,101,320,1,1,13,13,,,334,
RUSS,,,,,1,1,,,,,,,1,
SOCI,,29,31,23,39,122,6,6,33,33,,,161,
SPAN,,2,10,19,10,41,,,,,,,41,
TCMS,,13,14,10,16,53,,,,,,,53,
THAR,,2,3,4,1,10,,,,,,,10,
USLA,,,2,,2,4,,,,,,,4,
WGST,,,,4,1,5,,,,,,,5,
Subtotal,,281,378,382,493,"1,534",14,14,98,98,,,"1,646",
Science,ANLY,,,,,,,,,,,,,
APHY,,,,,,,,,2,2,,,2,
APMS,,19,13,10,17,59,,,,,,,59,
BIOL,,187,56,66,67,376,1,1,3,3,,,380,
BMCB,,5,5,4,10,24,,,,,,,24,
BOTN,,,,,,,,,,,,,,
CHEM,,28,13,13,21,75,,,16,16,,,91,
GENE,,,,,,,,,,,,,,
MATH,,71,25,11,18,125,5,5,2,2,,,132,
MBIO,,4,4,8,6,22,,,2,2,,,24,
MEPS,,,,,,,,,,,,,,
MSEN,,,,,,,,,,,,,,
NRSC,,,,,,,,,1,1,,,1,
PHYS,,53,9,8,,70,1,1,9,9,,,80,
STAT,,,,,,,8,8,,,,,8,
USSC,,5,2,2,1,10,,,,,,,10,
ZOOL,,9,4,2,2,17,,,,,,,17,
Subtotal,,381,131,124,142,778,15,15,35,35,,,828,
