Ethnicity American Indian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,ABME,,,,,,,,,,,,,
AGBU,,,,1,,1,,,,,,,1,
AGCJ,,,,1,1,2,,,,,,,2,
ALEC,,,,,,,,,,,,,,
ALED,,,2,1,2,5,,,,,,,5,
ANBR,,,,,,,,,,,,,,
ANSC,,,1,3,3,7,,,,,,,7,
BAEN,,,,,,,,,,,,,,
BESC,,,1,,,1,,,,,,,1,
BICH,,,,,,,,,1,1,,,1,
CDEV,,,,,,,,,,,,,,
ECOR,,,,1,,1,,,,,,,1,
FIVL,,,,,,,,,,,,,,
FIVS,,,,1,,1,,,,,,,1,
NUSC,,,1,,,1,,,,,,,1,
PLPA,,,,,,,,,,,,,,
POSC,,,,,1,1,,,,,,,1,
USAL,,,,1,,1,,,,,,,1,
WFSC,,,1,,,1,,,,,,,1,
WISC,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,
Subtotal,,,6,9,7,22,,,1,1,,,23,
Architecture,COSC,,,,1,1,,,,,,,1,
COSL,,,1,,,1,,,,,,,1,
USAR,,,,,,,,,,,,,,
VISL,,,1,,,1,,,,,,,1,
VIST,,,,,,,,,,,,,,
Subtotal,,,2,,1,3,,,,,,,3,
Business Admin,ACCT,,,,,,,,,,,,,
BUAD,,2,4,,,6,,,,,,,6,
BHNR,,,,,,,,,,,,,,
EMBA,,,,,,,1,1,,,,,1,
FINC,,,,,1,1,,,,,,,1,
SCMT,,,,,1,1,,,,,,,1,
USBU,,,,,,,,,,,,,,
Subtotal,,2,4,,2,8,1,1,,,,,9,
Education,ATTR,,,,,,,,,,,,,
EDHL,,,,,1,1,,,,,,,1,
EDIS,,,2,,,2,,,,,,,2,
EDKI,,,,1,1,2,,,,,,,2,
HEED,,,,,,,,,,,,,,
HLTH,,,,,1,1,,,,,,,1,
HRDL,,,,1,,1,,,,,,,1,
USEH,,,,,,,,,,,,,,
Subtotal,,,2,2,3,7,,,,,,,7,
