Feeder Patterns (Top 20) -- All Students,,,,,,
(College Station),,,,,,
State,,,,,,
,Total,Undergraduate,Masters,Doctoral,Professional,
Texas,45042,40093,2958,1489,502,
California,375,195,67,108,5,
Louisiana,133,83,17,32,1,
Florida,129,52,32,45,0,
Illinois,126,61,19,45,1,
Georgia,107,60,20,27,0,
Colorado,99,67,11,21,0,
Virginia,89,44,21,24,0,
Tennessee,84,46,16,22,0,
Pennsylvania,84,27,13,42,2,
,,,,,,
TX County,,,,,,
Harris,8801,7787,663,269,82,
Bexar,2764,2506,152,80,26,
Tarrant,2692,2479,135,52,26,
Dallas,2570,2340,147,54,29,
Brazos,2493,1847,304,319,23,
Fort Bend,2347,2130,149,50,18,
Collin,1864,1714,93,25,32,
Travis,1798,1608,116,53,21,
Montgomery,1649,1497,107,29,16,
Williamson,1244,1127,74,31,12,
Denton,1172,1066,68,22,16,
