Ethnicity International,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Engineering,AERL,1,,1,,2,,,,,,,2,
AERO,,,,4,3,7,6,6,32,32,,,45,
BIOT,,,,,,,22,22,,,,,22,
BMEL,,,,,,,,,,,,,,
BMEN,,,,5,2,7,1,1,27,27,,,35,
CECL,,3,3,1,,7,,,,,,,7,
CECN,,,,1,7,8,43,43,35,35,,,86,
CEEL,,,,2,2,4,,,,,,,4,
CEEN,,,,,3,3,89,89,35,35,,,127,
CHEL,,2,1,2,1,6,,,,,,,6,
CHEN,,,1,,13,14,6,6,74,74,,,94,
CPSC,,,1,4,14,19,98,98,51,51,,,168,
CPSL,,1,4,1,2,8,,,,,,,8,
CVEL,,2,,,2,4,,,,,,,4,
CVEN,,,1,5,9,15,113,113,110,110,,,238,
ELEL,,9,2,8,3,22,,,,,,,22,
ELEN,,,4,6,25,35,161,161,233,233,,,429,
ENGE,,,,,,,,,,,,,,
ENGR,,,,,,,,,1,1,,,1,
ENSM,,,,,,,4,4,,,,,4,
ENTC,,,,1,4,5,,,,,,,5,
ENTL,,,,1,3,4,,,,,,,4,
HLPH,,,,,,,1,1,,,,,1,
IDIL,,,,,,,,,,,,,,
IDIS,,,,1,5,6,,,,,,,6,
INEL,,2,7,4,4,17,,,,,,,17,
INEN,,,2,8,17,27,125,125,35,35,,,187,
ITDE,,,,,,,,,,,,,,
MEEL,,6,1,1,1,9,,,,,,,9,
MEEN,,,1,4,11,16,88,88,189,189,,,293,
MSEN,,,,,,,4,4,60,60,,,64,
NUEL,,,,1,,1,,,,,,,1,
NUEN,,,,2,8,10,8,8,21,21,,,39,
OCEL,,1,1,1,,3,,,,,,,3,
OCEN,,,,1,,1,32,32,25,25,,,58,
PETE,,,3,12,27,42,109,109,105,105,,,256,
PETL,,4,3,,,7,,,,,,,7,
RHEL,,,,,,,,,,,,,,
RHEN,,,,,1,1,,,,,,,1,
SENG,,,,,,,14,14,,,,,14,
USEN,,,,,,,,,,,,,,
WMHS,,,,,,,1,1,,,,,1,
Subtotal,,31,35,77,167,310,925,925,"1,033","1,033",,,"2,268",
G. Bush School of,CAIA,,,,,,,,,,,,,
Govt,CHLS,,,,,,,,,,,,,
CNPM,,,,,,,,,,,,,,
INTA,,,,,,,13,13,,,,,13,
PSAA,,,,,,,24,24,,,,,24,
Subtotal,,,,,,,37,37,,,,,37,
