Feeder Patterns:  Country,,,,,,,,
(College Station),,,,,,,,
Country,,,,,,,,
,Undergraduate,Masters,,Doctoral,,Professional,Total,
Iraq,2,8,,11,,21,,
Ireland,2,,,,,2,,
Israel,2,,,5,,7,,
Italy,3,1,,10,,14,,
Ivory Coast,1,1,,,,2,,
Jamaica,1,,,2,,3,,
Japan,4,9,,17,,30,,
Jordan,1,2,,10,,13,,
Kazakhstan,3,2,,,,5,,
Kenya,1,,,4,,5,,
Kuwait,3,7,,7,,17,,
Lebanon,2,1,,7,,10,,
Libya,1,,,2,,3,,
Lithuania,1,,,,,1,,
Luxembourg,1,,,,,1,,
Macau,1,1,,1,,3,,
Madagascar,1,,,,,1,,
Malawi,1,,,,,1,,
Malaysia,18,5,,8,,31,,
Mauritius,1,,,,,1,,
Mexico,33,19,,55,,107,,
Morocco,1,2,,,,3,,
Myanmar,1,1,,1,,3,,
Nepal,15,5,,12,,32,,
Netherlands,6,,,1,,7,,
New Zealand,2,,,4,,6,,
Nicaragua,3,,,,,3,,
Nigeria,14,19,,14,,47,,
Norway,2,3,,,,5,,
Oman,2,1,,4,,7,,
Pakistan,6,9,,7,,22,,
Panama,5,3,,6,,14,,
Papua New,1,,,,,1,,
Paraguay,1,,,,,1,,
Peru,3,2,,7,,12,,
Philippines,2,,,9,,11,,
Poland,1,1,,2,,4,,
Portugal,1,,,,,1,,
Qatar,1,2,,6,,9,,
Romania,2,,,2,,4,,
Russian,2,6,,7,,15,,
Rwanda,1,,,,,1,,
Saudi Arabia,19,21,,24,,64,,
Serbia,1,,,3,,4,,
Sierra Leone,1,,,,,1,,
Singapore,3,10,,5,,18,,
Slovakia,1,,,,,1,,
South Africa,3,2,,3,,8,,
