Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity 2 or More/Excluding Black,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
G. Bush School  BUSH,,,,,,9,9,,,,,9,
of Govt                 Subtotal,,,,,,9,9,,,,,9,
Geosciences        ATMO,3,,,,3,,,,,,,3,
CLGE,,1,2,1,4,,,,,,,4,
GEOG,2,1,,1,4,,,2,2,,,6,
GEPL,1,,3,1,5,1,1,,,,,6,
OCNG,,,,,,,,1,1,,,1,
Subtotal,6,2,5,3,16,1,1,3,3,,,20,
Liberal Arts        ANTH,2,1,4,2,9,,,3,3,,,12,
CLLA,,,,,,,,,,,,,
COMM,,11,6,6,23,,,,,,,23,
ECON,1,4,7,8,20,1,1,1,1,,,22,
ENGL,2,2,3,2,9,,,1,1,,,10,
HISP,1,,,,1,,,,,,,1,
HIST,5,6,4,5,20,1,1,,,,,21,
INTS,2,3,10,4,19,,,,,,,19,
PHUM,1,1,1,2,5,,,,,,,5,
POLS,4,5,3,8,20,,,,,,,20,
PRFM,2,,,,2,1,1,,,,,3,
PSYC,7,4,6,10,27,,,,,,,27,
SOCI,2,4,3,1,10,1,1,2,2,,,13,
Subtotal,29,41,47,48,165,4,4,7,7,,,176,
Science                BIOL,22,11,10,9,52,,,,,,,52,
CHEM,1,4,2,3,10,,,,,,,10,
CLSC,,,,,,,,,,,,,
MATH,3,3,3,4,13,2,2,2,2,,,17,
PHYS,6,4,,,10,1,1,4,4,,,15,
STAT,,,,,,,,1,1,,,1,
Subtotal,32,22,15,16,85,3,3,7,7,,,95,
Veterinary           CLVM,15,14,12,13,54,2,2,,,4,4,60,
Medicine             VIBS,,,,,,2,2,,,,,2,
VLCS,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,
VTPB,,,,,,,,1,1,,,1,
VTPP,,,,,,1,1,,,,,1,
Subtotal,15,14,12,13,54,5,5,1,1,4,4,64,
General                GEST,59,17,1,,77,,,,,,,77,
Studies                 Subtotal,59,17,1,,77,,,,,,,77,
Other - Special   CLMD,,,,,,,,,,,,,
Populations        MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,
SABX,,,,,,,,,,,,,
SRPH,,,,,,1,1,,,,,1,
Subtotal,,,,,,1,1,,,,,1,
University           Total,267,222,228,285,"1,002",62,62,38,38,4,4,"1,106",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,
