Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity Unknown or Not Reported,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture         AGEC,,,,1,1,,,1,1,,,2,
ALEC,,,1,,1,1,1,,,,,2,
ANSC,,,,1,1,,,,,,,1,
BAEN,,,,1,1,1,1,,,,,2,
BCBP,,,1,1,2,,,3,3,,,5,
CLAG,,,,,,,,,,,,,
ENTO,1,,,,1,,,,,,,1,
ESSM,,,,,,1,1,,,,,1,
HRSC,,,,,,,,,,,,,
NFSC,,2,,,2,,,,,,,2,
RPTS,,,,1,1,,,,,,,1,
SCSC,,,,,,1,1,,,,,1,
WFSC,,,,1,1,,,2,2,,,3,
Subtotal,1,2,2,6,11,4,4,6,6,,,21,
Architecture       ARCH,,,,,,1,1,2,2,,,3,
CLAR,,,,,,,,,,,,,
COSC,,,,,,1,1,,,,,1,
LAUP,,,,,,1,1,,,,,1,
VIZA,,,,,,1,1,,,,,1,
Subtotal,,,,,,4,4,2,2,,,6,
Business              ACCT,,,,,,3,3,2,2,,,5,
Admin                  CLBA,3,2,,,5,35,35,,,,,40,
FINC,,,1,,1,3,3,,,,,4,
INFO,,,1,1,2,2,2,,,,,4,
MGMT,,,,1,1,6,6,,,,,7,
MKTG,,,,1,1,5,5,1,1,,,7,
Subtotal,3,2,2,3,10,54,54,3,3,,,67,
Education           CLED,,,,,,,,,,,,,
EAHR,,,,,,1,1,2,2,,,3,
EPSY,,,,,,1,1,1,1,,,2,
HLKN,,,1,,1,2,2,,,,,3,
TLAC,,,1,,1,2,2,1,1,,,4,
Subtotal,,,2,,2,6,6,4,4,,,12,
Engineering        AERO,1,,,2,3,,,,,,,3,
BMEN,,,1,1,2,1,1,,,,,3,
CHEN,1,,1,2,4,1,1,,,,,5,
CLEN,1,,,,1,,,1,1,,,2,
CSCE,1,,,,1,3,3,4,4,,,8,
CVEN,,,,,,1,1,4,4,,,5,
ECEN,,,2,1,3,1,1,5,5,,,9,
ETID,,,,,,4,4,,,,,4,
ISEN,,,,2,2,,,,,,,2,
MEEN,,1,,3,4,1,1,,,,,5,
MSEN,,,,,,1,1,,,,,1,
NUEN,,,,,,,,1,1,,,1,
PETE,,,1,3,4,8,8,1,1,,,13,
Subtotal,4,1,5,14,24,21,21,16,16,,,61,
G. Bush School  BUSH,,,,,,4,4,,,,,4,
of Govt                 Subtotal,,,,,,4,4,,,,,4,
