Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Ethnicity Native Hawaii Only,,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture         AGEC,,,,,,,,,,,,,
ALEC,,1,,,1,,,,,,,1,
HRSC,,,,,,,,,,,,,
NFSC,,,,1,1,,,,,,,1,
PLPM,,,,1,1,,,,,,,1,
SCSC,,,1,,1,,,,,,,1,
WFSC,,,1,2,3,,,,,,,3,
Subtotal,,1,2,4,7,,,,,,,7,
Architecture       ARCH,,,,,,,,,,,,,
CLAR,1,,,,1,,,,,,,1,
COSC,,,,,,,,,,,,,
LAUP,,,,1,1,,,,,,,1,
VIZA,,,,,,,,,,,,,
Subtotal,1,,,1,2,,,,,,,2,
Business              ACCT,,,1,,1,,,,,,,1,
Admin                  CLBA,2,1,,,3,,,,,,,3,
FINC,,,,,,,,,,,,,
INFO,,,1,,1,,,,,,,1,
Subtotal,2,1,2,,5,,,,,,,5,
Education           CLED,,,,,,,,,,,,,
HLKN,,2,,1,3,,,,,,,3,
TLAC,,,,,,,,,,,,,
Subtotal,,2,,1,3,,,,,,,3,
Engineering        AERO,1,,,,1,,,,,,,1,
BMEN,,,,,,,,,,,,,
CHEN,1,,,1,2,,,,,,,2,
CLEN,,,,,,,,,,,,,
CSCE,1,,,,1,,,1,1,,,2,
CVEN,,,,2,2,,,,,,,2,
ECEN,,,1,1,2,,,,,,,2,
ETID,,,,1,1,,,,,,,1,
ISEN,,,,1,1,,,,,,,1,
MEEN,,,,1,1,,,,,,,1,
PETE,,1,,,1,,,,,,,1,
Subtotal,3,1,1,7,12,,,1,1,,,13,
G. Bush School  BUSH,,,,,,1,1,,,,,1,
of Govt                 Subtotal,,,,,,1,1,,,,,1,
Liberal Arts        COMM,,1,,,1,,,,,,,1,
ECON,1,,,,1,,,,,,,1,
ENGL,,,,2,2,,,,,,,2,
HISP,,,,,,,,,,,,,
HIST,,,1,,1,,,,,,,1,
INTS,,1,,1,2,,,,,,,2,
SOCI,,,,,,,,,,,,,
Subtotal,1,2,1,3,7,,,,,,,7,
Science                BIOL,1,,,1,2,,,,,,,2,
MATH,,,,1,1,,,,,,,1,
"Subtotal
General                GEST",1,1,,2,"3
1",,,,,,,"3
1",
Studies                 Subtotal,,1,,,1,,,,,,,1,
University           Total,8,8,6,18,40,1,1,1,1,,,42,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,
