Ethnicity Asian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
COSL,,2,2,1,,5,,,,,,,5,
ENDL,,3,3,1,,7,,,,,,,7,
ENDS,,,,5,3,8,,,,,,,8,
LAND,,,,1,1,2,,,,,,,2,
LANL,,,,,,,,,,,,,,
LPDV,,,,,,,,,,,,,,
URPL,,,,,,,,,,,,,,
URPN,,,,1,,1,,,,,,,1,
URSC,,,,1,,1,,,2,2,,,3,
USAR,,2,2,2,1,7,,,,,,,7,
VISL,,,1,3,1,5,,,,,,,5,
VIST,,,,3,4,7,7,7,,,,,14,
Subtotal,,7,8,19,12,46,11,11,4,4,,,61,
Business Admin,ACCT,,1,17,21,39,6,6,1,1,,,46,
AGBU,,,,1,,1,,,,,,,1,
BHNR,,,1,2,3,6,,,,,,,6,
BUAD,,56,33,6,1,96,9,9,,,,,105,
BUAG,,,,,,,,,,,,,,
EMBA,,,,,,,10,10,,,,,10,
FINC,,,1,23,17,41,5,5,1,1,,,47,
INFO,,,,,,,,,1,1,,,1,
MGMT,,,,2,4,6,4,4,2,2,,,12,
MISY,,,,5,8,13,1,1,,,,,14,
MKTG,,,,4,4,8,4,4,,,,,12,
MLER,,,,,,,1,1,,,,,1,
PMBA,,,,,,,17,17,,,,,17,
SCMT,,,,13,18,31,,,,,,,31,
USBU,,,1,6,1,8,,,,,,,8,
Subtotal,,56,37,79,77,249,57,57,5,5,,,311,
Education,ATTR,,,,,,,,,,,,,
BIED,,,,,,,,,,,,,,
CPSY,,,,,,,,,3,3,,,3,
EDAD,,,,,,,2,2,3,3,,,5,
EDCI,,,,,,,4,4,2,2,,,6,
EDHL,,5,8,16,4,33,,,,,,,33,
EDIS,,2,5,3,,10,,,,,,,10,
EDKI,,3,5,4,4,16,,,,,,,16,
EDSM,,,6,5,1,12,,,,,,,12,
EHRD,,,,,,,1,1,6,6,,,7,
EPSY,,,,,,,2,2,3,3,,,5,
GENE,,,,,,,,,,,,,,
HEED,,,,,,,1,1,2,2,,,3,
HLTH,,,,1,11,12,,,,,,,12,
HRDL,,2,,4,2,8,,,,,,,8,
HRDV,,,,,4,4,,,,,,,4,
INST,,,,,3,3,,,,,,,3,
KINE,,,,,6,6,1,1,2,2,,,9,
NUTR,,,,,,,,,,,,,,
SPED,,,,,,,1,1,,,,,1,
SPMT,,,,,1,1,2,2,,,,,3,
SPSY,,,,,,,,,2,2,,,2,
TCMG,,,,,2,2,,,,,,,2,
TCML,,2,2,,1,5,,,,,,,5,
TECR,,,,,,,,,,,,,,
USEH,,,,,1,1,,,,,,,1,
