Headcount by Department by Classification/Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Geosciences,ATMO,,,,,,,,,,,,,
CLGE,,,,,,,,,,,,,,
GEOG,,,,,,,,,1,1,,,1,
GEPL,,,,1,,1,,,2,2,,,3,
OCNG,,,,,,,,,1,1,,,1,
Subtotal,,,,1,,1,,,4,4,,,5,
Liberal Arts,ANTH,,,,,,,,2,2,,,2,
CLLA,,,,,,,,,,,,,,
COMM,,,,1,1,2,1,1,2,2,,,5,
ECON,,,1,1,1,3,3,3,1,1,,,7,
ENGL,,1,,,,1,,,1,1,,,2,
HISP,,,,,,,,,2,2,,,2,
HIST,,,,1,,1,,,3,3,,,4,
INTS,,,,1,2,3,,,,,,,3,
PHUM,,,,1,,1,,,1,1,,,2,
POLS,,,1,2,2,5,,,1,1,,,6,
PRFM,,,,,,,1,1,,,,,1,
PSYC,,,,,1,1,,,,,,,1,
SOCI,,,1,,,1,,,1,1,,,2,
Subtotal,,1,3,7,7,18,5,5,14,14,,,37,
Science,BIOL,,,1,1,2,,,,,,,2,
CHEM,,,,,1,1,,,4,4,,,5,
CLSC,,,,,,,,,,,,,,
MATH,,2,1,,,3,,,1,1,,,4,
PHYS,,2,1,,,3,,,4,4,,,7,
STAT,,,,,,,5,5,,,,,5,
Subtotal,,4,2,1,2,9,5,5,9,9,,,23,
Veterinary,CLVM,2,,2,,4,,,,,10,10,14,
Medicine,VIBS,,,,,,,,1,1,,,1,
VLCS,,,,,,,,,,,,,,
VSCS,,,,,,,,,,,,,,
VTPB,,,,,,,,,1,1,,,1,
VTPP,,,,,,,,,,,,,,
Subtotal,,2,,2,,4,,,2,2,10,10,16,
General,GEST,1,3,,,4,,,,,,,4,
Studies,Subtotal,1,3,,,4,,,,,,,4,
Other - Special,CLMD,,,,,,,,,,,,,
Populations,MARB,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
SABX,,,,2,,2,,,,,,,2,
SRPH,,,,,,,5,5,,,,,5,
Subtotal,,,,2,,2,5,5,,,,,7,
University,Total,16,13,24,32,85,108,108,60,60,10,10,263,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
