Ethnicity Hispanic or Latino of any Race,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,
Fall 2013,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture              ABME,,,,,,,,,,,,,
ADEV,,,,,,1,1,,,,,1,
AGBL,10,8,7,,25,,,,,,,25,
AGBU,,,6,9,15,3,3,,,,,18,
AGCJ,2,6,14,16,38,,,,,,,38,
AGEC,3,4,4,12,23,3,3,2,2,,,28,
AGED,,,,,,,,1,1,,,1,
AGLS,2,10,5,1,18,,,,,,,18,
AGRO,,,4,5,9,,,,,,,9,
AGSC,1,5,3,6,15,,,,,,,15,
AGSM,1,3,4,11,19,,,,,,,19,
ALEC,,,,,,8,8,6,6,,,14,
ALED,5,9,26,26,66,,,,,,,66,
ANBR,,,,,,,,,,,,,
ANSC,60,40,53,50,203,5,5,5,5,,,213,
BAEN,10,7,8,16,41,4,4,3,3,,,48,
BESC,6,12,28,34,80,,,,,,,80,
BICH,31,10,15,9,65,,,5,5,,,70,
CDEV,1,2,2,3,8,,,,,,,8,
ECOR,,1,1,1,3,,,,,,,3,
ENST,1,,2,1,4,,,,,,,4,
ENTO,,2,9,11,22,2,2,5,5,,,29,
ESSM,,,,,,2,2,7,7,,,9,
FISC,,,,,,,,,,,,,
FIVL,49,13,1,1,64,,,,,,,64,
FIVS,,,4,5,9,,,,,,,9,
FORS,1,1,1,,3,1,1,,,,,4,
FSTC,1,2,6,9,18,2,2,1,1,,,21,
GENE,7,8,2,5,22,,,7,7,,,29,
HORT,4,7,5,15,31,3,3,2,2,,,36,
MEPS,,,,,,1,1,2,2,,,3,
NRDV,,,,,,3,3,,,,,3,
NUSC,17,22,41,38,118,,,,,,,118,
NUTR,,,,,,4,4,1,1,,,5,
PLBR,,,,,,,,2,2,,,2,
PLPA,,,,,,,,2,2,,,2,
POSC,1,8,8,7,24,4,4,1,1,,,29,
PREP,,,,,,,,,,,,,
PSSC,,1,4,2,7,,,,,,,7,
RENR,1,6,3,7,17,,,,,,,17,
RLEM,1,,2,2,5,,,,,,,5,
RPTS,2,8,15,12,37,,,,,,,37,
RRDV,,,,,,,,,,,,,
SOSC,,,,,,1,1,1,1,,,2,
SPSA,1,3,4,2,10,,,,,,,10,
TGSC,,2,1,,3,,,,,,,3,
TOXI,,,,,,,,,,,,,
USAL,1,10,16,19,46,,,,,,,46,
WFSC,5,18,19,37,79,10,10,16,16,,,105,
WISC,,,,,,3,3,,,,,3,
WMHS,,,,,,3,3,,,,,3,
Subtotal,224,228,323,372,"1,147",63,63,69,69,,,"1,279",
