Ethnicity Asian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Agriculture,ABME,,,,,,,,1,1,,,1,
ADEV,,,,,,,,,,,,,,
AGBL,,3,2,,,5,,,,,,,5,
AGBU,,,,,,,1,1,,,,,1,
AGCJ,,,,,1,1,,,,,,,1,
AGEC,,,,,1,1,1,1,4,4,,,6,
AGED,,,,,,,,,,,,,,
AGLS,,1,2,,,3,,,,,,,3,
AGRO,,,1,2,,3,1,1,,,,,4,
AGSC,,,1,,,1,,,,,,,1,
AGSM,,,,,1,1,,,,,,,1,
ALEC,,,,,,,,,3,3,,,3,
ALED,,,,,,,,,,,,,,
ANBR,,,,,,,,,,,,,,
ANSC,,4,1,1,1,7,,,,,,,7,
BAEN,,4,1,4,,9,3,3,,,,,12,
BESC,,3,7,8,7,25,,,,,,,25,
BICH,,16,10,8,15,49,,,1,1,,,50,
CDEV,,,,1,,1,,,,,,,1,
ECOR,,1,,,,1,,,,,,,1,
ENST,,1,,,,1,,,,,,,1,
ENTO,,,1,2,3,6,1,1,1,1,,,8,
ESSM,,,,,,,,,1,1,,,1,
FISC,,,,,,,,,,,,,,
FIVL,,2,,,,2,,,,,,,2,
FIVS,,,,,2,2,,,,,,,2,
FORS,,,,,,,1,1,,,,,1,
FSTC,,5,2,3,3,13,,,,,,,13,
GENE,,3,2,3,8,16,,,1,1,,,17,
HORT,,,1,1,1,3,,,1,1,,,4,
MEPS,,,,,,,,,1,1,,,1,
NRDV,,,,,,,,,,,,,,
NUSC,,2,6,10,16,34,,,,,,,34,
NUTR,,,,,,,1,1,,,,,1,
PLBR,,,,,,,,,1,1,,,1,
PLPA,,,,,,,,,2,2,,,2,
POSC,,,,1,,1,,,,,,,1,
PREP,,,,,,,,,,,,,,
PSSC,,,,1,,1,,,,,,,1,
RENR,,1,,1,,2,,,,,,,2,
RLEM,,,,,,,,,,,,,,
RPTS,,,2,2,2,6,1,1,2,2,,,9,
RRDV,,,,,,,,,,,,,,
SOSC,,,,,,,,,,,,,,
SPSA,,,,,,,,,,,,,,
TGSC,,,1,,,1,,,,,,,1,
TOXI,,,,,,,,,,,,,,
USAL,,,1,,,1,,,,,,,1,
WFSC,,,1,2,1,4,,,,,,,4,
WISC,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,
Subtotal,,46,42,50,62,200,10,10,19,19,,,229,
Architecture,ARCH,,,,,,2,2,2,2,,,4,
COMG,,,,,,,2,2,,,,,2,
COSC,,,,1,2,3,,,,,,,3,
