Ethnicity Asian Only,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Subtotal,,14,26,33,40,113,14,14,23,23,,,150,
Engineering,AERL,8,1,2,1,12,,,,,,,12,
AERO,,,3,4,12,19,,,1,1,,,20,
BIOT,,,,,,,3,3,,,,,3,
BMEL,,6,5,1,,12,,,,,,,12,
BMEN,,,4,8,11,23,1,1,9,9,,,33,
CECL,,9,10,3,,22,,,,,,,22,
CECN,,,2,4,8,14,2,2,2,2,,,18,
CEEL,,3,4,3,1,11,,,,,,,11,
CEEN,,,1,3,4,8,4,4,1,1,,,13,
CHEL,,15,5,5,,25,,,,,,,25,
CHEN,,,5,16,34,55,3,3,1,1,,,59,
CPSC,,,2,8,13,23,7,7,2,2,,,32,
CPSL,,8,5,4,1,18,,,,,,,18,
CVEL,,12,4,,1,17,,,,,,,17,
CVEN,,,4,9,8,21,7,7,5,5,,,33,
ELEL,,19,14,7,2,42,,,,,,,42,
ELEN,,,6,12,42,60,10,10,8,8,,,78,
ENGE,,18,3,1,,22,,,,,,,22,
ENGR,,,,,,,,,3,3,,,3,
ENSM,,,,,,,,,,,,,,
ENTC,,,1,2,9,12,,,,,,,12,
ENTL,,,5,8,2,15,,,,,,,15,
HLPH,,,,,,,,,,,,,,
IDIL,,,1,1,,2,,,,,,,2,
IDIS,,,,5,6,11,2,2,,,,,13,
INEL,,3,4,3,1,11,,,,,,,11,
INEN,,1,2,7,18,28,4,4,3,3,,,35,
ITDE,,,,,,,,,1,1,,,1,
MEEL,,5,2,2,1,10,,,,,,,10,
MEEN,,,8,10,28,46,6,6,9,9,,,61,
MSEN,,,,,,,3,3,1,1,,,4,
NUEL,,5,4,1,,10,,,,,,,10,
NUEN,,1,1,,4,6,,,4,4,,,10,
OCEL,,2,,,,2,,,,,,,2,
OCEN,,,,3,2,5,1,1,1,1,,,7,
PETE,,,8,6,18,32,19,19,3,3,,,54,
PETL,,13,3,,,16,,,,,,,16,
RHEL,,,1,2,,3,,,,,,,3,
RHEN,,,1,,3,4,,,,,,,4,
SENG,,,,,,,2,2,,,,,2,
USEN,,,,,,,,,,,,,,
WMHS,,,,,,,,,,,,,,
Subtotal,,128,119,140,230,617,74,74,54,54,,,745,
G. Bush School of,CAIA,,,,,,,,,,,,,
Govt,CHLS,,,,,,1,1,,,,,1,
CNPM,,,,,,,1,1,,,,,1,
INTA,,,,,,,6,6,,,,,6,
PSAA,,,,,,,1,1,,,,,1,
Subtotal,,,,,,,9,9,,,,,9,
