Ethnicity International,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Architecture,ARCH,,,,,,52,52,43,43,,,95,
COMG,,,,,,,52,52,,,,,52,
COSC,,,,,1,1,,,,,,,1,
COSL,,,,,,,,,,,,,,
ENDL,,,,1,1,2,,,,,,,2,
ENDS,,,,,3,3,,,,,,,3,
LAND,,,,,,,38,38,,,,,38,
LANL,,2,,,,2,,,,,,,2,
LPDV,,,,,,,7,7,,,,,7,
URPL,,,,,,,19,19,,,,,19,
URPN,,,,,,,,,,,,,,
URSC,,,,1,1,2,,,36,36,,,38,
USAR,,,,,1,1,,,,,,,1,
VISL,,,1,,,1,,,,,,,1,
VIST,,,,,,,16,16,,,,,16,
Subtotal,,2,1,2,7,12,184,184,79,79,,,275,
Business Admin,ACCT,,,6,5,11,8,8,,,,,19,
AGBU,,,,,,,,,,,,,,
BHNR,,,,,,,,,,,,,,
BUAD,,11,3,2,,16,37,37,,,,,53,
BUAG,,1,,,,1,,,,,,,1,
EMBA,,,,,,,,,,,,,,
FINC,,,2,8,5,15,4,4,10,10,,,29,
INFO,,,,,,,,,6,6,,,6,
MGMT,,,,1,1,2,,,4,4,,,6,
MISY,,,1,,3,4,133,133,,,,,137,
MKTG,,,,,,,9,9,8,8,,,17,
MLER,,,,,,,,,,,,,,
PMBA,,,,,,,,,,,,,,
SCMT,,,,,1,1,,,,,,,1,
USBU,,,,1,,1,,,,,,,1,
Subtotal,,12,6,18,15,51,191,191,28,28,,,270,
Education,ATTR,,,,,,,,,,,,,
BIED,,,,,,,1,1,,,,,1,
CPSY,,,,,,,,,1,1,,,1,
EDAD,,,,,,,1,1,2,2,,,3,
EDCI,,,,,,,31,31,25,25,,,56,
EDHL,,,,,,,,,,,,,,
EDIS,,1,,,1,2,,,,,,,2,
EDKI,,,2,1,,3,,,,,,,3,
EDSM,,2,,1,,3,,,,,,,3,
EHRD,,,,,,,14,14,20,20,,,34,
EPSY,,,,,,,11,11,34,34,,,45,
GENE,,,,,,,,,,,,,,
HEED,,,,,,,4,4,10,10,,,14,
HLTH,,,,,1,1,,,,,,,1,
HRDL,,,1,,1,2,,,,,,,2,
HRDV,,,,,1,1,,,,,,,1,
INST,,,,,1,1,,,,,,,1,
KINE,,,,,,,10,10,16,16,,,26,
NUTR,,,,,,,,,,,,,,
SPED,,,,,,,,,,,,,,
SPMT,,,,,2,2,7,7,,,,,9,
SPSY,,,,,,,,,2,2,,,2,
TCMG,,,,,,,,,,,,,,
TCML,,,,,,,,,,,,,,
TECR,,,,,,,,,,,,,,
USEH,,,1,,,1,,,,,,,1,
Subtotal,,3,4,2,7,16,79,79,110,110,,,205,
