Headcount by Major by Ethnic Origin,,,,,,,,,,,
(College Station),,,,,,,,,,,
Fall 2013,White Only,American Indian Only,Asian Only,Black Only + 2 or more/1 Black,Hispanic or Latino of any Race,Native Hawaii Only,"2 or
More/Excluding Black",International,Unknown or Not Reported,Total,
Architecture        ARCH,47,,4,1,15,,,95,3,165,
COMG,15,,2,4,3,,,52,1,77,
COSC,275,1,3,5,56,,5,1,,346,
COSL,245,1,5,6,71,,6,,,334,
ENDL,115,,7,7,74,,4,2,,209,
ENDS,97,,8,1,39,,3,3,,151,
LAND,42,,2,,15,,2,38,,99,
LANL,33,,,,18,,2,2,,55,
LPDV,6,,,1,3,,,7,,17,
URPL,20,,,5,4,,,19,1,49,
URPN,6,,1,,9,1,1,,,18,
URSC,37,,3,4,20,,,38,,102,
USAR,86,,7,9,59,1,,1,,163,
VISL,103,1,5,4,24,,2,1,,140,
VIST,134,,14,1,33,,5,16,1,204,
Subtotal,"1,261",3,61,48,443,2,30,275,6,"2,129",
Business Admin ACCT,664,,46,18,119,1,13,19,5,885,
AGBU,6,,1,,1,,1,,,9,
BHNR,99,,6,1,15,,3,,,124,
BUAD,"1,464",6,105,53,332,3,38,53,16,"2,070",
BUAG,20,,,1,6,,,1,,28,
EMBA,50,1,10,7,13,,,,14,95,
FINC,475,1,47,4,66,,11,29,1,634,
INFO,2,,1,,,,,6,,9,
MGMT,282,,12,12,56,,4,6,7,379,
MISY,157,,14,9,34,,4,137,3,358,
MKTG,345,,12,6,52,,11,17,7,450,
MLER,44,,1,,1,,,,3,49,
PMBA,47,,17,1,7,,,,10,82,
SCMT,228,1,31,4,40,1,7,1,1,314,
USBU,137,,8,9,25,,1,1,,181,
Subtotal,"4,020",9,311,125,767,5,93,270,67,"5,667",
