Ethnicity International,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Medicine,BIOT,,,,,,2,2,,,,,2,
EPID,,,,,,,,,,,,,,
GENE,,,,,,,,,1,1,,,1,
LAMD,,,,,,,,,,,,,,
STJR,,,,,,,,,,,,,,
TOXI,,,,,,,,,3,3,,,3,
USVM,,,,,,,,,,,,,,
VPAT,,,,,,,,,2,2,,,2,
VTMD,,,,,,,,,,,,,,
VTMI,,,,,,,,,5,5,,,5,
VTPB,,,,,,,,,1,1,,,1,
VTPH,,,,,,,,,,,,,,
Subtotal,,1,,1,1,3,4,4,42,42,,,49,
General Studies,GEST,1,3,,,4,,,,,,,4,
TEAM,,,,,,,,,,,,,,
TMEN,,,,,,,,,,,,,,
Subtotal,,1,3,,,4,,,,,,,4,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MARM,,,,,,,,,,,,,
MARS,,,,,,,,,,,,,,
MDSC,,,,,,,1,1,,,,,1,
PHLT,,,,,,,3,3,,,,,3,
REEP,,1,18,44,10,73,30,30,,,,,103,
Subtotal,,1,18,44,10,73,34,34,,,,,107,
University,Total,105,96,192,267,660,"1,726","1,726","2,219","2,219",,,"4,605",
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
