Ethnicity Unknown or Not Reported,,,,,,,,,,,,,,
Headcount by Major by Classification / Degree Objective by Ethnicity,,,,,,,,,,,,,,
(College Station),,,,,,,,,,,,,,
Fall 2013,,Undergraduate,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Masters,Total,Doctoral,Total,Professional,Total,,
Liberal Arts,ANTH,,,,,,,,2,2,,,2,
CLSS,,,,1,,1,,,,,,,1,
COMM,,,,,1,1,1,1,2,2,,,4,
ECON,,,1,1,1,3,3,3,1,1,,,7,
ENGL,,1,,,,1,,,1,1,,,2,
HISP,,,,,,,,,2,2,,,2,
HIST,,,,1,,1,,,3,3,,,4,
INTS,,,,,2,2,,,,,,,2,
NRSC,,,,,,,,,,,,,,
PERF,,,,,,,1,1,,,,,1,
PHIL,,,,1,,1,,,1,1,,,2,
POLS,,,1,2,2,5,,,1,1,,,6,
PSYC,,,,,1,1,,,,,,,1,
RUSS,,,,,,,,,,,,,,
SOCI,,,1,,,1,,,1,1,,,2,
SPAN,,,,,,,,,,,,,,
TCMS,,,,1,,1,,,,,,,1,
WGST,,,,,,,,,,,,,,
Subtotal,,1,3,7,7,18,5,5,14,14,,,37,
Science,ANLY,,,,,,1,1,,,,,1,
APHY,,,,,,,,,,,,,,
APMS,,1,1,,,2,,,,,,,2,
BIOL,,,,1,,1,,,,,,,1,
BMCB,,,,,1,1,,,,,,,1,
BOTN,,,,,,,,,,,,,,
CHEM,,,,,1,1,,,4,4,,,5,
GENE,,,,,,,,,,,,,,
MATH,,1,,,,1,,,1,1,,,2,
PHYS,,2,1,,,3,,,4,4,,,7,
STAT,,,,,,,4,4,,,,,4,
Subtotal,,4,2,1,2,9,5,5,9,9,,,23,
Veterinary,BIMS,2,,2,,4,,,1,1,,,5,
Medicine,VTMD,,,,,,,,,,10,10,10,
VTMI,,,,,,,,,,,,,,
VTPB,,,,,,,,,1,1,,,1,
VTPH,,,,,,,,,,,,,,
Subtotal,,2,,2,,4,,,2,2,10,10,16,
General Studies,GEST,1,2,,,3,,,,,,,3,
TEAM,,,1,,,1,,,,,,,1,
TMEN,,,,,,,,,,,,,,
Subtotal,,1,3,,,4,,,,,,,4,
Other - Special,MARB,,,,,,,,,,,,,
Populations,MDSC,,,,,,,,,,,,,
PHLT,,,,,,,5,5,,,,,5,
REEP,,,,2,,2,,,,,,,2,
Subtotal,,,,2,,2,5,5,,,,,7,
University,Total,16,13,24,32,85,108,108,60,60,10,10,263,
"Prepared by DARS, 04 Dec 13",,,,,,,,,,,,,,
