Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,7,2,1,,,10,,,,,,,10
,AERO,,,2,4,,6,,,,,,,6
,BMEL,1,1,,,,2,,,,,,,2
,BMEN,,,2,10,,12,,,1,1,,,13
,CECL,,2,,1,,3,,,,,,,3
,CECN,,,1,2,,3,,,,,,,3
,CEEL,2,,,,,2,,,,,,,2
,CEEN,,,,4,,4,,,,,,,4
,CHEL,3,5,,,,8,,,,,,,8
,CHEN,,1,2,7,1,11,,,1,1,,,12
,CPSC,,1,,5,,6,1,1,,,,,7
,CPSL,2,2,1,1,,6,,,,,,,6
,CVEL,2,1,,,,3,,,,,,,3
,CVEN,,1,,1,,2,1,1,1,1,,,4
,ELEL,3,4,1,,,8,,,,,,,8
,ELEN,,2,4,10,,16,2,2,,,,,18
,ENTC,,,2,3,,5,,,,,,,5
,ENTL,,2,,,,2,,,,,,,2
,IDIL,,3,1,,,4,,,,,,,4
,IDIS,,,2,5,,7,,,,,,,7
,INEL,1,1,,,,2,,,,,,,2
,INEN,,2,5,6,,13,1,1,,,,,14
,MEEL,3,2,1,,,6,,,,,,,6
,MEEN,,2,4,4,,10,2,2,1,1,,,13
,NUEL,1,1,2,,,4,,,,,,,4
,NUEN,,,3,1,,4,1,1,1,1,,,6
,OCEL,,,1,,,1,,,,,,,1
,OCEN,,1,,2,,3,1,1,,,,,4
,PETE,,1,1,3,,5,2,2,,,,,7
,PETL,5,2,2,1,,10,,,,,,,10
,RHEN,,,1,2,,3,,,,,,,3
,Subtotal,30,39,39,72,1,181,11,11,5,5,,,197
G. Bush School of Govt,CNPM,,,,,,,1,1,,,,,1
,INTA,,,,,,,6,6,,,,,6
,PSAA,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,9,9,,,,,9
