Demographic Summary by College by Ethnicity/Gender,,,,,,,,,,,,,,,,,,,,,,,,,,,
First-Time Undergraduate Transfer Students  (College Station Campus),,,,,,,,,,,,,,,,,,,,,,,,,,,
College Geosciences,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spring 2013,White Only (NEW),,,American Indian Only (NEW),,,Asian Only (NEW),,,Black Only + 2 or more/1 Black (NEW),,,Hispanic or Latino of any Race (NEW),,,2 or More/Excluding Black (NEW),,,International,,,Unknown or Not Reported,,Grand Total,,,
,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,F,M,Tot,M,Tot,F,M,Tot,
Headcount Total,6,6,12,,1,1,1,,1,,,,1,,1,,,,,,,,,8,7,15,
TAMU Age               18-21,4,3,7,,,,1,,1,,,,,,,,,,,,,,,5,3,8,
22-25,1,3,4,,1,1,,,,,,,1,,1,,,,,,,,,2,4,6,
26-30,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
31-39,,,,,,,,,,,,,,,,,,,,,,,,,,,
40+,,,,,,,,,,,,,,,,,,,,,,,,,,,
Classification/Deg Freshman,,,,,,,,,,,,,,,,,,,,,,,,,,,
"ree Objective
Sophomore",1,6,7,,,,1,,1,,,,,,,,,,,,,,,2,6,8,
Junior,4,,4,,1,1,,,,,,,1,,1,,,,,,,,,5,1,6,
Senior,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
PB,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuition Status         Resident Tuition,6,6,12,,1,1,1,,1,,,,1,,1,,,,,,,,,8,7,15,
Non-Resident Tuition,,,,,,,,,,,,,,,,,,,,,,,,,,,
Residency Status    Texas Resident,6,6,12,,1,1,1,,1,,,,1,,1,,,,,,,,,8,7,15,
"Non-TX, US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
"Non-TX, Non-US Resident",,,,,,,,,,,,,,,,,,,,,,,,,,,
SCH Categories       < 6 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
6-8 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
9-11 SCH,,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,
12-14 SCH,6,5,11,,,,,,,,,,1,,1,,,,,,,,,7,5,12,
15-17 SCH,,1,1,,,,1,,1,,,,,,,,,,,,,,,1,1,2,
>17 SCH,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ft/Pt:  TAMU          Less Than Half Time,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Status
Half-Time",,,,,1,1,,,,,,,,,,,,,,,,,,,1,1,
Full-Time,6,6,12,,,,1,,1,,,,1,,1,,,,,,,,,8,6,14,
Top 10% Texas        No,5,6,11,,1,1,1,,1,,,,1,,1,,,,,,,,,7,7,14,
Yes,1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
First Generation     No,5,2,7,,1,1,1,,1,,,,,,,,,,,,,,,6,3,9,
Unknown,,1,1,,,,,,,,,,,,,,,,,,,,,,1,1,
Yes,1,3,4,,,,,,,,,,1,,1,,,,,,,,,2,3,5,
Dorm / Off-             Off Campus,5,6,11,,1,1,1,,1,,,,1,,1,,,,,,,,,7,7,14,
"campus students
On Campus",1,,1,,,,,,,,,,,,,,,,,,,,,1,,1,
Categories,,,,,,,,,,,,,,,,,,,,,,,,,,,
High School,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Prepared by DARS, 22 Feb 13",,,,,,,,,,,,,,,,,,,,,,,,,,,
Page 146,,,,,,,,,,,,,,,,,,,,,,,,,,,
