Spring 2013,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           CLVM VIBS VSCS VTPB VTPP
Subtotal
General Studies                   GEST Subtotal
Other - Special                     CLMD
Populations                          MARB
SRPH
Subtotal
University                             Total",80,85,79,83,,327,3,3,1,1,46,46,377,
,,,,,,,2,2,,,,,2,
,,,,,,,1,1,1,1,,,2,
,,,,,,,1,1,4,4,,,5,
,,,,,,,1,1,1,1,,,2,
,80,85,79,83,,327,8,8,7,7,46,46,388,
,318,274,12,,,604,,,,,,,604,
,318,274,12,,,604,,,,,,,604,
,,,,,,,1,1,,,,,1,
,1,,,,,1,,,,,,,1,
,,,,,,,1,1,,,,,1,
,1,,,,,1,2,2,,,,,3,
,"1,204","1,622","1,650","2,324",19,"6,819",405,405,373,373,46,46,"7,643",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,
