Ethnicity International,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
Education,BIED,,,,,,,2,2,,,2,
,EDAD,,,,,,,1,1,,,1,
,EDCI,,,,,,,27,27,26,26,53,
,EDKI,1,3,1,,,5,,,,,5,
,EDSM,1,,,2,,3,,,,,3,
,EHRD,,,,,,,14,14,17,17,31,
,EPSY,,,,,,,12,12,31,31,43,
,HEED,,,,,,,1,1,6,6,7,
,HLTH,,,,1,,1,,,,,1,
,HRDL,,,,1,,1,,,,,1,
,INST,,,,1,,1,,,,,1,
,KINE,,,,,,,8,8,16,16,24,
,SPMT,,,,1,,1,4,4,,,5,
,SPSY,,,,,,,,,2,2,2,
,Subtotal,2,3,1,6,,12,69,69,98,98,179,
Engineering,AERL,,,,1,,1,,,,,1,
,AERO,,4,,3,,7,6,6,32,32,45,
,BIOT,,,,,,,15,15,,,15,
,BMEN,,1,2,2,,5,2,2,27,27,34,
,CECL,1,,1,,,2,,,,,2,
,CECN,,,2,7,,9,29,29,40,40,78,
,CEEL,1,2,2,,,5,,,,,5,
,CEEN,,1,,3,,4,68,68,26,26,98,
,CHEL,,,1,,,1,,,,,1,
,CHEN,,,2,16,,18,4,4,69,69,91,
,CPSC,,3,4,8,,15,64,64,50,50,129,
,CPSL,1,2,3,1,,7,,,,,7,
,CVEL,1,,1,,,2,,,,,2,
,CVEN,,1,3,13,,17,74,74,109,109,200,
,ELEL,5,9,8,4,,26,,,,,26,
,ELEN,,2,4,26,,32,99,99,231,231,362,
,ENSM,,,,,,,1,1,,,1,
,ENTC,,,,2,,2,,,,,2,
