Ethnicity International,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
"Agriculture                    WMHS Subtotal
Architecture                  ARCH COMG COSC ENDL ENDS LAND LDEV LPDV URPL URSC USAR VIST
Subtotal",,,,,,,,,,2,2,2,
,,4,8,12,18,,42,77,77,286,286,405,
,,,,,,,,38,38,38,38,76,
,,,,,,,,35,35,,,35,
,,,,,2,,2,,,,,2,
,,,1,1,,,2,,,,,2,
,,,,1,2,,3,,,,,3,
,,,,,,,,35,35,,,35,
,,,,,,,,7,7,,,7,
,,,,,,,,5,5,,,5,
,,,,,,,,18,18,,,18,
,,,,2,,,2,,,39,39,41,
,,,,,1,,1,,,,,1,
,,,,,,,,13,13,,,13,
,,,1,4,5,,10,151,151,77,77,238,
Business Admin,ACCT,,,5,9,,14,14,14,,,28,
,"BUAD FINC INFO MGMT MISY MKTG MLER PMBA USBU
Subtotal",6,4,1,,,11,22,22,,,33,
,,,,6,3,,9,4,4,9,9,22,
,,,,3,1,,4,,,10,10,14,
,,,,1,2,,3,1,1,4,4,8,
,,,,,,,,94,94,,,94,
,,,,,,,,5,5,5,5,10,
,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,1,
,,,,,1,,1,,,,,1,
,,6,4,16,16,,42,142,142,28,28,212,
