Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,1,3,1,1,,6,,,1,1,,,7
,BMEN,,,1,4,,5,,,2,2,,,7
,CHEN,1,2,3,11,,17,4,4,2,2,,,23
,CSCE,3,9,8,12,,32,,,4,4,,,36
,CVEN,3,2,4,9,,18,2,2,,,,,20
,ECEN,3,6,7,12,,28,1,1,2,2,,,31
,ETID,2,6,4,21,,33,,,,,,,33
,ISEN,,4,1,14,,19,5,5,4,4,,,28
,MEEN,2,5,4,5,,16,2,2,3,3,,,21
,NUEN,2,1,3,4,,10,2,2,1,1,,,13
,PETE,,3,4,8,,15,9,9,2,2,,,26
,Subtotal,17,41,40,101,,199,25,25,21,21,,,245
G. Bush School of Govt,BUSH,,,,,,,20,20,,,,,20
,Subtotal,,,,,,,20,20,,,,,20
Geosciences,ATMO,1,1,2,2,,6,1,1,,,,,7
,CLGE,1,1,,,,2,,,,,,,2
,GEOG,,,3,3,,6,,,,,,,6
,GEPL,1,,,1,,2,5,5,,,,,7
,OCNG,,,,,,,,,1,1,,,1
,Subtotal,3,2,5,6,,16,6,6,1,1,,,23
Liberal Arts,ANTH,1,1,1,3,,6,,,5,5,,,11
,CLLA,3,3,6,17,1,30,,,,,,,30
,COMM,5,6,8,13,,32,1,1,4,4,,,37
,ECON,1,5,7,9,,22,,,,,,,22
,ENGL,2,3,7,10,,22,,,1,1,,,23
,EURO,,1,,1,,2,,,,,,,2
,HISP,1,,,,,1,,,,,,,1
,HIST,6,2,3,3,,14,,,,,,,14
,PHUM,,1,,1,,2,,,,,,,2
,POLS,3,5,8,9,,25,,,2,2,,,27
,PRFM,1,2,2,,,5,2,2,,,,,7
,PSYC,8,16,13,31,,68,,,3,3,,,71
,SOCI,6,9,14,17,,46,1,1,18,18,,,65
,Subtotal,37,54,69,114,1,275,4,4,33,33,,,312
Science,BIOL,14,10,12,14,,50,,,1,1,,,51
,CHEM,3,1,3,,,7,,,4,4,,,11
,MATH,3,1,1,6,,11,,,1,1,,,12
,PHYS,4,,,,,4,1,1,2,2,,,7
,STAT,,,,,,,6,6,,,,,6
,Subtotal,24,12,16,20,,72,7,7,8,8,,,87
