Spring 2013,,White Only (NEW),,American Indian Only (NEW),,Asian Only (NEW),,Black Only + 2 or more/1 Black (NEW),,Hispanic or Latino of any Race (NEW),,Native Hawaii Only (New),,2 or More/Excluding Black (NEW),,International,,Unknown or Not Reported,,Total,,Total
,,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,Female,Male,
Business Admin,BUAD,557,589,2,1,36,37,16,21,119,107,,,21,8,10,23,1,5,762,791,"1,553"
,BUAG,6,4,,,,1,,,3,2,,,,,,,,,9,7,16
,EMBA,8,48,,1,1,6,1,8,4,10,,,,,,,,10,14,83,97
,FINC,158,357,,2,5,31,2,4,30,54,,,5,2,7,15,,2,207,467,674
,INFO,131,227,1,1,24,19,5,4,24,50,,,5,6,3,11,1,,194,318,512
,MGMT,144,100,,,6,9,9,4,25,23,,,1,3,6,2,1,,192,141,333
,MISY,22,16,,,1,4,1,2,3,2,,,,,32,62,,,59,86,145
,MKTG,253,91,,,7,2,5,3,29,11,,2,9,3,4,6,2,1,309,119,428
,MLER,8,27,,,,1,,,,4,,,,,1,,,1,9,33,42
,PMBA,6,19,,,1,7,,1,,,,,,,,1,,1,7,29,36
,USBU,56,77,,,,4,3,5,13,14,,,1,2,1,,,,74,102,176
,Subtotal,"1,766","1,937",3,6,103,155,55,63,322,326,,3,51,29,83,129,6,24,"2,389","2,672","5,061"
Education,ATTR,6,2,,,,,1,,,1,,,,,,,1,,8,3,11
,BIED,2,1,,,,,,,9,2,,,,,2,,,1,13,4,17
,CPSY,9,3,,,2,,5,1,8,2,,,2,,,,,,26,6,32
,EDAD,53,52,1,,5,1,26,12,36,24,,,,1,1,,,1,122,91,213
,EDCI,189,43,3,,5,,35,7,29,8,,,7,1,37,16,2,2,307,77,384
,EDHL,441,36,2,,26,1,22,6,101,22,1,,12,3,,,,,605,68,673
,EDIS,381,19,2,,2,1,7,1,78,11,,,8,,,,,,478,32,510
,EDKI,321,171,,,7,10,18,3,70,53,,,13,8,4,1,,,433,246,679
,EDSM,53,134,,,1,2,7,16,10,27,,,,4,3,,,,74,183,257
,EDTC,2,,,,,,,,,,,,,,,,,,2,,2
,EHRD,49,26,,,5,3,18,9,14,9,,,2,,22,9,,,110,56,166
,EPSY,38,7,,,2,1,3,2,13,6,,,1,,33,10,,1,90,27,117
,GENE,1,,,,,,,,,,,,,,,,,,1,,1
,HEED,25,4,,,5,,4,3,9,5,,,2,,6,1,,,51,13,64
,HLTH,197,17,,,7,1,7,2,40,8,,,4,1,1,,,,256,29,285
,HRDL,62,21,,,4,1,3,2,21,9,,,2,2,1,,,,93,35,128
,HRDV,81,13,1,,3,,4,3,17,3,,,1,,,,,,107,19,126
,INST,736,35,,,4,1,14,1,99,12,,,13,1,1,,,,867,50,917
,KINE,152,100,,,3,5,7,7,25,24,1,,7,1,7,17,,1,202,155,357
,NUTR,2,,,,1,,,,,,,,,,,,,,3,,3
,SPED,22,1,,,1,,,,3,,,,,,,,1,,27,1,28
,SPMT,53,120,,1,1,1,11,15,14,23,,,2,2,2,3,,1,83,166,249
,SPSY,16,4,,,3,,4,,8,,,,2,1,2,,,,35,5,40
,TCMG,5,24,,,2,2,,4,7,12,,,,,,,,,14,42,56
,TCML,4,48,,,1,2,1,3,3,21,,,,1,,,,,9,75,84
,TECR,1,3,,,1,,1,,,1,,,,,,,,,3,4,7
,USEH,3,,,,,,,,1,,,,,,,,,,4,,4
,Subtotal,"2,904",884,9,1,91,32,198,97,615,283,2,,78,26,122,57,4,7,"4,023","1,387","5,410"
