Ethnicity Asian Only (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,AGEC,,1,1,,,2,3,3,3,3,,,8,
,ALEC,1,,1,3,,5,,,1,1,,,6,
,ANSC,1,2,1,5,,9,,,,,,,9,
,BAEN,2,3,4,3,1,13,2,2,,,,,15,
,BCBP,7,13,9,26,1,56,,,2,2,,,58,
,CLAG,2,1,,,,3,,,,,,,3,
,ENTO,,,4,4,,8,1,1,1,1,,,10,
,ESSM,,,1,1,,2,1,1,,,,,3,
,HRSC,1,,2,,,3,,,1,1,,,4,
,NFSC,4,8,11,21,2,46,2,2,1,1,,,49,
,PLPM,,2,5,6,,13,1,1,1,1,,,15,
,POSC,,,1,,,1,1,1,,,,,2,
,RPTS,,1,1,5,,7,1,1,,,,,8,
,SCSC,,,1,,,1,3,3,3,3,,,7,
,WFSC,,1,2,,,3,1,1,,,,,4,
,Subtotal,18,32,44,74,4,172,16,16,13,13,,,201,
Architecture,ARCH,2,5,4,3,,14,2,2,3,3,,,19,
,CLAR,,1,2,,,3,,,,,,,3,
,COSC,1,,1,2,,4,2,2,,,,,6,
,LAUP,,2,,2,,4,,,2,2,,,6,
,VIZA,,3,5,3,,11,7,7,,,,,18,
,Subtotal,3,11,12,10,,36,11,11,5,5,,,52,
Business Admin,ACCT,,2,18,25,,45,3,3,1,1,,,49,
,CLBA,21,31,22,5,,79,21,21,,,,,100,
,FINC,,,17,14,,31,4,4,2,2,,,37,
,INFO,,,22,21,,43,5,5,,,,,48,
,MGMT,,,3,7,,10,3,3,2,2,,,15,
,MKTG,,,3,4,,7,2,2,,,,,9,
,Subtotal,21,33,85,76,,215,38,38,5,5,,,258,
Education,CLED,,,,,1,1,,,,,,,1,
,EAHR,,1,4,10,,15,5,5,9,9,,,29,
,EPSY,,,1,,,1,1,1,8,8,,,10,
,HLKN,3,17,19,22,,61,6,6,4,4,,,71,
,TLAC,2,,1,4,,7,4,4,1,1,,,12,
,Subtotal,5,18,25,36,1,85,16,16,22,22,,,123,
