Ethnicity International,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,,
Agriculture,ABME,,,,,,,,,1,1,1,
,AGBL,,1,1,,,2,,,,,2,
,AGBU,,,1,1,,2,15,15,,,17,
,AGCJ,,,1,2,,3,,,,,3,
,AGEC,,,3,2,,5,9,9,38,38,52,
,AGLS,,1,,,,1,,,,,1,
,AGRO,,,1,,,1,1,1,2,2,4,
,AGSM,,,1,2,,3,,,,,3,
,ALEC,,,,,,,2,2,3,3,5,
,ALED,,1,1,,,2,,,,,2,
,ANBR,,,,,,,,,2,2,2,
,ANSC,1,1,,1,,3,2,2,4,4,9,
,BAEN,1,2,,,,3,10,10,34,34,47,
,BESC,,,,1,,1,,,,,1,
,BICH,,1,,3,,4,,,53,53,57,
,BIOT,,,,,,,3,3,,,3,
,ENTO,1,,,,,1,2,2,16,16,19,
,FORS,1,,,,,1,2,2,5,5,8,
,FSTC,,,1,1,,2,6,6,10,10,18,
,GENE,,,1,2,,3,,,4,4,7,
,HORT,,,,,,,4,4,8,8,12,
,MEPS,,,,,,,1,1,14,14,15,
,NUSC,,,1,2,,3,,,,,3,
,NUTR,,,,,,,3,3,8,8,11,
,PLBR,,,,,,,3,3,15,15,18,
,PLPA,,,,,,,1,1,11,11,12,
,POSC,,,,,,,1,1,4,4,5,
,PREP,,,,,,,,,3,3,3,
,PSSC,,1,,,,1,,,,,1,
,RLEM,,,,,,,,,6,6,6,
,RPTS,,,,1,,1,6,6,20,20,27,
,SOSC,,,,,,,1,1,6,6,7,
,TOXI,,,,,,,,,1,1,1,
,WFSC,,,,,,,5,5,16,16,21,
