Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERO,7,2,3,4,,16,,,,,,,16
,BMEN,1,1,2,10,,14,,,1,1,,,15
,CHEN,3,6,2,7,1,19,,,1,1,,,20
,CSCE,2,5,2,9,,18,1,1,,,,,19
,CVEN,2,3,1,3,,9,2,2,1,1,,,12
,ECEN,5,6,5,14,,30,2,2,,,,,32
,ETID,,5,5,8,,18,,,,,,,18
,ISEN,1,3,5,6,,15,1,1,,,,,16
,MEEN,3,4,5,4,,16,2,2,1,1,,,19
,NUEN,1,1,6,3,,11,1,1,1,1,,,13
,PETE,5,3,3,4,,15,2,2,,,,,17
,Subtotal,30,39,39,72,1,181,11,11,5,5,,,197
G. Bush School of Govt,BUSH,,,,,,,9,9,,,,,9
,Subtotal,,,,,,,9,9,,,,,9
Geosciences,ATMO,,,,2,,2,,,,,,,2
,CLGE,,,2,,,2,,,,,,,2
,GEOG,1,,1,1,,3,,,2,2,,,5
,GEPL,,3,2,1,,6,2,2,,,,,8
,Subtotal,1,3,5,4,,13,2,2,2,2,,,17
"Liberal Arts
Science
Veterinary  Medicine",ANTH,1,2,4,1,,8,,,4,4,,,12
,CLLA,1,6,8,3,,18,,,,,,,18
,COMM,1,11,4,9,,25,,,,,,,25
,ECON,,4,10,3,,17,1,1,,,,,18
,ENGL,,4,3,5,,12,,,1,1,,,13
,EURO,,,,1,,1,,,,,,,1
,HIST,3,6,3,6,,18,1,1,,,,,19
,PHUM,1,1,1,2,,5,,,,,,,5
,POLS,3,5,9,4,,21,,,,,,,21
,PRFM,1,1,,1,,3,,,,,,,3
,PSYC,1,8,7,6,,22,,,,,,,22
,SOCI,,3,3,2,,8,,,3,3,,,11
,Subtotal,12,51,52,43,,158,2,2,8,8,,,168
,BIOL,8,9,9,15,,41,,,,,,,41
,CHEM,2,4,1,3,,10,,,,,,,10
,MATH,5,3,5,8,,21,2,2,1,1,,,24
,PHYS,7,1,,2,,10,1,1,5,5,,,16
,STAT,,,,,,,,,1,1,,,1
,Subtotal,22,17,15,28,,82,3,3,7,7,,,92
,CLVM,14,18,4,12,,48,2,2,,,2,2,52
,VTPB,,,,,,,,,1,1,,,1
,VTPP,,,,,,,1,1,,,,,1
,Subtotal,14,18,4,12,,48,3,3,1,1,2,2,54
