Ethnicity Black Only + 2 or more/1 Black (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Geosciences,ATMO,,,,,,,1,1,,,,,1,
,ENGS,1,1,,,,2,,,,,,,2,
,ENST,,,2,1,,3,,,,,,,3,
,GEOG,,,1,2,,3,,,,,,,3,
,GEOL,1,,,1,,2,3,3,,,,,5,
,GEOP,,,,,,,1,1,,,,,1,
,GEOS,,,,,,,1,1,,,,,1,
,METR,1,1,2,2,,6,,,,,,,6,
,OCNG,,,,,,,,,1,1,,,1,
,Subtotal,3,2,5,6,,16,6,6,1,1,,,23,
Liberal Arts,ANTH,1,1,1,3,,6,,,5,5,,,11,
,COMM,2,3,8,11,,24,1,1,4,4,,,29,
,ECON,1,5,7,9,,22,,,,,,,22,
,ENGL,2,3,7,10,,22,,,1,1,,,23,
,FREN,,1,,1,,2,,,,,,,2,
,HIST,6,2,3,3,,14,,,,,,,14,
,INTS,2,3,6,13,1,25,,,,,,,25,
,MUSC,,1,,,,1,,,,,,,1,
,NRSC,,,,,,,,,1,1,,,1,
,PERF,,,,,,,2,2,,,,,2,
,PHIL,,1,,1,,2,,,,,,,2,
,POLS,3,5,8,9,,25,,,2,2,,,27,
,PSYC,8,16,13,31,,68,,,2,2,,,70,
,SOCI,6,9,14,17,,46,1,1,18,18,,,65,
,SPAN,1,,,,,1,,,,,,,1,
,TCMS,3,3,,2,,8,,,,,,,8,
,THAR,1,1,2,,,4,,,,,,,4,
,USLA,,,,2,,2,,,,,,,2,
,WGST,1,,,2,,3,,,,,,,3,
,Subtotal,37,54,69,114,1,275,4,4,33,33,,,312,
Science,APMS,1,,,4,,5,,,,,,,5,
,BIOL,14,7,11,11,,43,,,1,1,,,44,
,BMCB,,1,,1,,2,,,,,,,2,
,CHEM,3,1,3,,,7,,,4,4,,,11,
,MATH,2,1,1,2,,6,,,1,1,,,7,
,MBIO,,1,1,1,,3,,,,,,,3,
,PHYS,4,,,,,4,1,1,2,2,,,7,
,STAT,,,,,,,6,6,,,,,6,
,ZOOL,,1,,1,,2,,,,,,,2,
,Subtotal,24,12,16,20,,72,7,7,8,8,,,87,
