Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
G. Bush School of Govt,"CAIA CNPM INTA PSAA
Subtotal",,,,,,,1,1,,,,,1
,,,,,,,,1,1,,,,,1
,,,,,,,,6,6,,,,,6
,,,,,,,,3,3,,,,,3
,,,,,,,,11,11,,,,,11
"Geosciences
Liberal Arts
Science",ENGS,,1,1,2,,4,,,,,,,4
,ENST,,1,1,1,,3,,,,,,,3
,GEOG,,,,,,,,,1,1,,,1
,GEOL,,4,3,2,,9,1,1,1,1,,,11
,GEOP,3,,,,1,4,3,3,1,1,,,8
,METR,1,,,2,,3,,,,,,,3
,OCNG,,,,,,,1,1,,,,,1
,WMHS,,,,,,,1,1,,,,,1
,Subtotal,4,6,5,7,1,23,6,6,3,3,,,32
,ANTH,,2,3,2,,7,,,5,5,,,12
,COMM,3,4,2,4,,13,,,2,2,,,15
,ECON,3,11,11,21,,46,4,4,1,1,,,51
,ENGL,,,3,9,,12,1,1,1,1,,,14
,HIST,,3,6,1,,10,,,,,,,10
,INTS,2,9,7,8,,26,,,,,,,26
,MODL,,,,1,,1,,,,,,,1
,MUSC,1,,1,,,2,,,,,,,2
,NRSC,,,,,,,,,1,1,,,1
,PHIL,,2,1,2,,5,,,,,,,5
,POLS,2,6,6,13,,27,,,1,1,,,28
,PSYC,3,11,18,29,,61,,,6,6,,,67
,SOCI,1,4,,8,1,14,,,1,1,,,15
,TCMS,,1,1,3,,5,,,,,,,5
,THAR,,,1,,,1,,,,,,,1
,USLA,,,,1,,1,,,,,,,1
,WGST,,,1,,,1,,,,,,,1
,Subtotal,15,53,61,102,1,232,5,5,18,18,,,255
,APMS,2,4,6,8,,20,,,,,,,20
,BIOL,43,42,39,58,,182,,,3,3,,,185
,BMCB,2,4,2,5,,13,,,,,,,13
,CHEM,10,11,9,11,,41,1,1,12,12,,,54
,MATH,1,1,,1,,3,1,1,2,2,,,6
,MBIO,1,,4,2,,7,,,,,,,7
,PHYS,6,2,1,,,9,,,3,3,,,12
,STAT,,,,,,,16,16,1,1,,,17
,ZOOL,1,2,1,1,,5,,,,,,,5
,Subtotal,66,66,62,86,,280,18,18,21,21,,,319
