Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Geosciences,ENGS,,,2,,,2,,,,,,,2
,ENST,1,,,1,,2,,,,,,,2
,GEOG,,,1,,,1,,,1,1,,,2
,GEOL,,3,1,1,,5,1,1,,,,,6
,GEOP,,,1,,,1,,,,,,,1
,GEOS,,,,,,,1,1,,,,,1
,METR,,,,2,,2,,,,,,,2
,WMHS,,,,,,,,,1,1,,,1
,Subtotal,1,3,5,4,,13,2,2,2,2,,,17
"Liberal Arts
Science
Veterinary  Medicine",ANTH,1,2,4,1,,8,,,4,4,,,12
,COMM,,10,3,7,,20,,,,,,,20
,ECON,,4,10,3,,17,1,1,,,,,18
,ENGL,,4,3,5,,12,,,1,1,,,13
,HIST,3,6,3,6,,18,1,1,,,,,19
,INTS,1,6,8,3,,18,,,,,,,18
,MUSC,,1,,,,1,,,,,,,1
,PHIL,1,1,1,2,,5,,,,,,,5
,POLS,3,5,9,4,,21,,,,,,,21
,PSYC,1,8,7,6,,22,,,,,,,22
,RUSS,,,,1,,1,,,,,,,1
,SOCI,,3,3,2,,8,,,3,3,,,11
,TCMS,1,1,1,2,,5,,,,,,,5
,THAR,1,,,1,,2,,,,,,,2
,Subtotal,12,51,52,43,,158,2,2,8,8,,,168
,APHY,,,,,,,,,1,1,,,1
,APMS,2,1,3,3,,9,,,,,,,9
,BIOL,5,7,6,10,,28,,,,,,,28
,BMCB,2,,,2,,4,,,,,,,4
,CHEM,2,4,1,3,,10,,,,,,,10
,MATH,3,2,2,5,,12,2,2,1,1,,,15
,MBIO,,1,2,3,,6,,,,,,,6
,MSEN,,,,,,,,,1,1,,,1
,PHYS,7,1,,2,,10,1,1,3,3,,,14
,STAT,,,,,,,,,1,1,,,1
,ZOOL,1,1,1,,,3,,,,,,,3
,Subtotal,22,17,15,28,,82,3,3,7,7,,,92
,BIMS,14,18,4,12,,48,2,2,,,,,50
,STJR,,,,,,,1,1,,,,,1
,VPAT,,,,,,,,,1,1,,,1
,VTMD,,,,,,,,,,,2,2,2
,Subtotal,14,18,4,12,,48,3,3,1,1,2,2,54
