Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Engineering,OCEL,29,,,,29
,OCEN,90,32,23,,145
,PETE,512,236,110,,858
,PETL,215,,,,215
,RHEL,21,,,,21
,RHEN,42,,,,42
,SENG,,15,,,15
,USEN,2,,,,2
,WMHS,,,1,,1
,Subtotal,"7,947","1,293","1,438",,"10,678"
G. Bush School of Govt,CAIA,,49,,,49
,CHLS,,19,,,19
,CNPM,,29,,,29
,INTA,,153,,,153
,PSAA,,122,,,122
,Subtotal,,372,,,372
Geosciences,ATMO,,23,33,,56
,ENGS,125,,,,125
,ENST,104,,,,104
,GEOG,90,26,30,,146
,GEOL,197,52,41,,290
,GEOP,60,20,17,,97
,GEOS,,7,,,7
,MARB,,1,2,,3
,METL,5,,,,5
,METR,124,,,,124
,OCNG,,15,52,,67
,SPSG,4,,,,4
,USGE,1,,,,1
,WMHS,,15,13,,28
,Subtotal,710,159,188,,"1,057"
