Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Liberal Arts,ANTH,194,29,95,,318
,CLLA,720,,,,720
,COMM,937,6,40,,983
,ECON,662,104,73,,839
,ENGL,618,16,72,,706
,EURO,50,,,,50
,HISP,72,1,38,,111
,HIST,644,6,61,,711
,PHUM,98,7,18,,123
,POLS,678,,41,,719
,PRFM,68,8,,,76
,PSYC,"1,282",4,105,,"1,391"
,SOCI,429,8,80,,517
,Subtotal,"6,452",189,623,,"7,264"
Science,BIOL,"1,381",6,85,,"1,472"
,CHEM,289,7,253,,549
,CLSC,21,,,,21
,MATH,444,37,112,,593
,PHYS,161,17,164,,342
,STAT,,114,55,,169
,Subtotal,"2,296",181,669,,"3,146"
"Veterinary Medicine
General Studies",CLVM,"1,616",21,7,526,"2,170"
,VIBS,,26,27,,53
,VLCS,,10,4,,14
,VSCS,,3,9,,12
,VTPB,,7,33,,40
,VTPP,,8,20,,28
,Subtotal,"1,616",75,100,526,"2,317"
,GEST,"2,880",,,,"2,880"
,Subtotal,"2,880",,,,"2,880"
