Texas A&M University Student Enrollment Summary,,,,,,,,,,,,
Student Head Count by Level by College (College Station Campus),,,,,,,,,,,,
College Other - Special Populations,,,,,,,,,,,,
Spring 2013,,Student Level,,,,,,,,,,
,,Undergraduate,,Masters,,Doctoral,,Professional,,Total,,
,,#,%,#,%,#,%,#,%,#,%,
Gender,Total,62,100.0%,45,100.0%,,,,,107,100.0%,
Female,,31,50.0%,28,62.2%,,,,,59,55.1%,
Male,,31,50.0%,17,37.8%,,,,,48,44.9%,
Ethnicity,White Only (NEW),4,6.5%,14,31.1%,,,,,18,16.8%,
American Indian Only (NEW),,,,,,,,,,,,
Asian Only (NEW),,,,4,8.9%,,,,,4,3.7%,
Black Only + 2 or more/1 Black (NEW),,1,1.6%,2,4.4%,,,,,3,2.8%,
Hispanic or Latino of any Race (NEW),,1,1.6%,2,4.4%,,,,,3,2.8%,
Native Hawaii Only (New),,,,,,,,,,,,
2 or More/Excluding Black (NEW),,,,1,2.2%,,,,,1,.9%,
International,,55,88.7%,17,37.8%,,,,,72,67.3%,
Unknown or Not Reported,,1,1.6%,5,11.1%,,,,,6,5.6%,
TAMU Age Categories,<18,,,,,,,,,,,
18-21,,26,41.9%,,,,,,,26,24.3%,
22-25,,34,54.8%,14,31.1%,,,,,48,44.9%,
26-30,,1,1.6%,14,31.1%,,,,,15,14.0%,
31-39,,,,8,17.8%,,,,,8,7.5%,
40+,,1,1.6%,9,20.0%,,,,,10,9.3%,
Enrollment Status,1st Time in College,,,,,,,,,,,
1st Time Graduate,,,,10,22.2%,,,,,10,9.3%,
1st Time Transfer,,,,,,,,,,,,
Readmitted,,,,,,,,,,,,
Continuing,,62,100.0%,35,77.8%,,,,,97,90.7%,
Tuition Status,Resident Tuition,3,4.8%,33,73.3%,,,,,36,33.6%,
Non-Resident Tuition,,59,95.2%,12,26.7%,,,,,71,66.4%,
Residency Status,Texas Resident,4,6.5%,23,51.1%,,,,,27,25.2%,
"Non-TX, US Resident",,3,4.8%,5,11.1%,,,,,8,7.5%,
"Non-TX, Non-US Resident",,55,88.7%,17,37.8%,,,,,72,67.3%,
SCH Categories,< 6 SCH,4,6.5%,22,48.9%,,,,,26,24.3%,
6-8 SCH,,,,11,24.4%,,,,,11,10.3%,
9-11 SCH,,1,1.6%,7,15.6%,,,,,8,7.5%,
12-14 SCH,,38,61.3%,4,8.9%,,,,,42,39.3%,
15-17 SCH,,18,29.0%,1,2.2%,,,,,19,17.8%,
>17 SCH,,1,1.6%,,,,,,,1,.9%,
Ft/Pt:  TAMU Status,Less Than Half Time,4,6.5%,20,44.4%,,,,,24,22.4%,
Half-Time,,1,1.6%,13,28.9%,,,,,14,13.1%,
Full-Time,,57,91.9%,12,26.7%,,,,,69,64.5%,
Top10_TX,No,61,98.4%,45,100.0%,,,,,106,99.1%,
Yes,,1,1.6%,,,,,,,1,.9%,
First Generation,No,4,6.5%,2,4.4%,,,,,6,5.6%,
Unknown,,57,91.9%,40,88.9%,,,,,97,90.7%,
Yes,,1,1.6%,3,6.7%,,,,,4,3.7%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,,,
Page 18,,,,,,,,,,,,
