Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,PLBR,,15,35,,50
,PLPA,,4,25,,29
,POSC,137,17,8,,162
,PREP,,5,8,,13
,PSSC,20,,,,20
,RENR,63,,,,63
,RLEM,50,16,25,,91
,RPTS,393,20,40,,453
,RRDV,,2,,,2
,SOSC,,5,20,,25
,SPSA,28,,,,28
,TGSC,8,,,,8
,TOXI,,1,2,,3
,USAL,154,,,,154
,WFSC,372,45,71,,488
,WISC,,12,,,12
,WMHS,,15,4,,19
,Subtotal,"5,725",534,687,,"6,946"
