Spring 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Agriculture,AGEC,480,1,8,1,53,,6,72,1,622
,ALEC,"1,034",11,6,89,155,1,18,10,2,"1,326"
,ANSC,725,7,9,10,154,,22,19,2,948
,BAEN,298,,15,9,68,,9,52,2,453
,BCBP,205,2,58,22,62,,11,63,4,427
,CLAG,88,,3,9,19,,1,1,,121
,ENTO,121,2,10,5,54,,4,20,,216
,ESSM,192,1,3,4,42,,5,15,,262
,HRSC,145,,4,,35,,3,14,,201
,NFSC,420,,49,21,126,2,13,26,2,659
,PLPM,174,,15,11,79,1,4,13,1,298
,POSC,120,1,2,7,33,,2,9,,174
,RPTS,373,1,8,26,47,2,7,27,1,492
,SCSC,158,,7,3,24,1,5,43,1,242
,WFSC,357,,4,11,100,3,6,21,3,505
,Subtotal,"4,890",26,201,228,"1,051",10,116,405,19,"6,946"
Architecture,ARCH,280,,19,6,102,,7,81,4,499
,CLAR,39,,3,2,24,,1,1,,70
,COSC,446,3,6,13,96,,11,37,1,613
,LAUP,152,,6,8,72,,7,106,1,352
,VIZA,202,,18,5,44,,5,13,2,289
,Subtotal,"1,119",3,52,34,338,,31,238,8,"1,823"
Business Admin,ACCT,667,,49,22,106,1,11,28,5,889
,CLBA,"1,502",5,100,57,287,,35,35,17,"2,038"
,FINC,550,2,37,6,88,,7,23,3,716
,INFO,396,2,48,12,79,,11,108,1,657
,MGMT,244,,15,13,48,,4,8,1,333
,MKTG,344,,9,8,40,2,12,10,3,428
,Subtotal,"3,703",9,258,118,648,3,80,212,30,"5,061"
"Education
Engineering",CLED,7,,1,1,2,,,,,11
,EAHR,438,2,29,85,176,,9,33,1,773
,EPSY,274,,10,18,114,,9,48,3,476
,HLKN,"1,835",3,71,129,432,2,59,45,3,"2,579"
,TLAC,"1,234",5,12,62,174,,27,53,4,"1,571"
,Subtotal,"3,788",10,123,295,898,2,104,179,11,"5,410"
,AERO,470,2,29,7,125,,16,46,2,697
,BMEN,291,1,54,7,79,,15,36,4,487
