Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,4,5,1,,,10,,,,,,,10
,AERO,,5,3,10,,18,,,1,1,,,19
,BMEL,7,6,1,,,14,,,,,,,14
,BMEN,,2,4,23,,29,3,3,6,6,,,38
,CECL,5,5,2,,,12,,,,,,,12
,CECN,,2,6,7,,15,2,2,2,2,,,19
,CEEL,1,6,1,,,8,,,,,,,8
,CEEN,,,4,3,,7,3,3,1,1,,,11
,CHEL,3,8,2,2,,15,,,,,,,15
,CHEN,,7,13,35,,55,,,2,2,,,57
,CPSC,,2,5,16,,23,5,5,2,2,,,30
,CPSL,7,7,3,,,17,,,,,,,17
,CVEL,2,4,,,,6,,,,,,,6
,CVEN,,3,7,11,,21,6,6,4,4,,,31
,ELEL,10,15,4,,,29,,,,,,,29
,ELEN,,6,15,45,,66,11,11,12,12,,,89
,ENGR,,,,,,,,,3,3,,,3
,ENSM,,,,,,,1,1,,,,,1
,ENTC,,,2,10,,12,,,,,,,12
,ENTL,,7,4,1,,12,,,,,,,12
,IDIL,,,1,,,1,,,,,,,1
,IDIS,,1,1,8,,10,1,1,,,,,11
,INEL,2,,1,,,3,,,,,,,3
,INEN,,3,8,21,1,33,4,4,2,2,,,39
,ITDE,,,,,,,,,1,1,,,1
,MEEL,5,3,,,,8,,,,,,,8
,MEEN,,2,8,27,,37,7,7,6,6,,,50
,MSEN,,,,,,,6,6,1,1,,,7
,NUEL,2,4,1,,,7,,,,,,,7
,NUEN,,,2,2,1,5,,,2,2,,,7
,OCEL,1,,1,,,2,,,,,,,2
,OCEN,,,2,1,,3,2,2,1,1,,,6
,PETE,,1,7,20,,28,17,17,3,3,,,48
,PETL,4,5,,,,9,,,,,,,9
,RHEL,1,1,,,,2,,,,,,,2
,RHEN,,,1,2,,3,,,,,,,3
,SENG,,,,,,,1,1,,,,,1
,Subtotal,54,110,110,244,2,520,69,69,49,49,,,638
