Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Engineering,AERL,78,63,9,1,,151,,,,,,,151
,AERO,,30,61,154,1,246,31,31,42,42,,,319
,BIOT,,,,,,,7,7,,,,,7
,BMEL,36,40,4,,,80,,,,,,,80
,BMEN,,16,40,108,2,166,10,10,34,34,,,210
,CECL,44,25,11,5,,85,,,,,,,85
,CECN,,21,21,64,,106,1,1,6,6,,,113
,CEEL,17,27,6,1,,51,,,,,,,51
,CEEN,,9,15,40,,64,2,2,6,6,,,72
,CHEL,35,60,19,4,2,120,,,,,,,120
,CHEN,1,22,55,192,,270,4,4,16,16,,,290
,CPSC,,16,61,105,1,183,15,15,25,25,,,223
,CPSL,32,47,24,7,2,112,,,,,,,112
,CVEL,62,53,6,2,,123,,,,,,,123
,CVEN,3,71,127,247,3,451,67,67,22,22,,,540
,ELEL,64,85,31,7,,187,,,,,,,187
,ELEN,,20,87,130,2,239,11,11,28,28,,,278
,ENGR,,,,,,,,,2,2,,,2
,ENSM,,,,,,,7,7,,,,,7
,ENTC,,,33,151,1,185,,,,,,,185
,ENTL,12,54,35,12,,113,,,,,,,113
,HLPH,,,,,,,8,8,,,,,8
,IDIL,12,34,45,4,,95,,,,,,,95
,IDIS,,13,74,228,2,317,29,29,,,,,346
,INEL,36,35,18,6,,95,,,,,,,95
,INEN,,39,65,181,1,286,16,16,5,5,,,307
,MEEL,111,85,12,1,,209,,,,,,,209
,MEEN,,69,159,360,1,589,56,56,41,41,,,686
,MSEN,,,,,,,1,1,16,16,,,17
,NUEL,20,11,15,2,1,49,,,,,,,49
,NUEN,,7,14,84,1,106,35,35,40,40,,,181
,OCEL,8,8,1,,,17,,,,,,,17
,OCEN,,6,15,39,1,61,5,5,,,,,66
,PETE,,25,94,238,4,361,83,83,5,5,,,449
,PETL,55,71,18,2,,146,,,,,,,146
,RHEL,4,6,2,,,12,,,,,,,12
,RHEN,,2,6,17,,25,,,,,,,25
,SENG,,,,,,,5,5,,,,,5
,USEN,,,,1,,1,,,,,,,1
,WMHS,,,,,,,,,1,1,,,1
,Subtotal,630,"1,070","1,183","2,393",25,"5,301",393,393,289,289,,,"5,983"
