Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Science                                    APHY
APMS BIOL BMCB BOTN CHEM MATH MBIO PHYS STAT USSC ZOOL
Subtotal",,,,,,,,,,2,2,,,2,
,,5,10,10,9,,34,,,,,,,34,
,,85,57,59,83,1,285,,,2,2,,,287,
,,7,4,2,14,,27,,,,,,,27,
,,,,,,,,,,1,1,,,1,
,,8,15,8,27,1,59,,,16,16,,,75,
,,25,17,16,14,,72,2,2,1,1,,,75,
,,2,5,6,4,,17,,,2,2,,,19,
,,13,7,4,4,,28,,,10,10,,,38,
,,,,,,,,7,7,,,,,7,
,,,2,,2,,4,,,,,,,4,
,,2,4,3,5,,14,,,,,,,14,
,,147,121,108,162,2,540,9,9,34,34,,,583,
"Veterinary Medicine
General Studies
Other - Special Populations
University",BIMS,80,85,79,83,,327,7,7,2,2,,,336,
,"GENE STJR TOXI VPAT VTMD VTMI
Subtotal GEST TEAM
Subtotal MARB MDSC PHLT
Subtotal
Total",,,,,,,,,1,1,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,,,1,1,,,1,
,,,,,,,,,,2,2,,,2,
,,,,,,,,,,,,46,46,46,
,,,,,,,,,,1,1,,,1,
,,80,85,79,83,,327,8,8,7,7,46,46,388,
,,209,219,7,,,435,,,,,,,435,
,,109,55,5,,,169,,,,,,,169,
,,318,274,12,,,604,,,,,,,604,
,,1,,,,,1,,,,,,,1,
,,,,,,,,1,1,,,,,1,
,,,,,,,,1,1,,,,,1,
,,1,,,,,1,2,2,,,,,3,
,,"1,204","1,622","1,650","2,324",19,"6,819",405,405,373,373,46,46,"7,643",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
