Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,
Liberal Arts,ANTH,,,,,,,1,1,11,11,12
,COMM,,,,1,,1,,,3,3,4
,ECON,,4,6,8,,18,88,88,60,60,166
,ENGL,,,,1,,1,1,1,19,19,21
,HISP,,,,,,,,,9,9,9
,HIST,,,,1,,1,1,1,2,2,4
,INTS,,,1,3,,4,,,,,4
,NRSC,,,,,,,,,4,4,4
,POLS,1,,,2,,3,,,7,7,10
,PSYC,1,,2,2,,5,,,14,14,19
,SOCI,1,,2,3,,6,1,1,6,6,13
,TCMS,,,,1,,1,,,,,1
,Subtotal,3,4,11,22,,40,92,92,135,135,267
"Science
Veterinary Medicine",APHY,,,,,,,,,1,1,1
,APMS,1,2,1,2,,6,,,,,6
,BIOL,1,,2,,,3,2,2,35,35,40
,BMCB,,1,,,,1,,,,,1
,CHEM,3,2,,3,,8,1,1,130,130,139
,MATH,2,1,1,1,,5,8,8,74,74,87
,MBIO,,,,,,,1,1,6,6,7
,PHYS,4,2,1,2,,9,11,11,78,78,98
,STAT,,,,,,,6,6,39,39,45
,ZOOL,,,,,,,,,1,1,1
,Subtotal,11,8,5,8,,32,29,29,364,364,425
,BIMS,,1,1,2,,4,3,3,26,26,33
,BIOT,,,,,,,1,1,,,1
,EPID,,,,,,,1,1,,,1
,GENE,,,,,,,,,1,1,1
,STJR,,,,,,,1,1,,,1
,TOXI,,,,,,,,,4,4,4
,VPAT,,,,,,,,,2,2,2
,VTMI,,,,,,,,,3,3,3
,Subtotal,,1,1,2,,4,6,6,36,36,46
