Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine           CLVM VIBS VTPB VTPP
Subtotal",,39,31,35,58,,163,3,3,,,13,13,179,
,,,,,,,,2,2,,,,,2,
,,,,,,,,1,1,1,1,,,2,
,,,,,,,,,,2,2,,,2,
,,39,31,35,58,,163,6,6,3,3,13,13,185,
"General Studies
Other - Special Populations
University",GEST,59,69,2,,,130,,,,,,,130,
,"Subtotal CLMD SRPH
Subtotal Total",59,69,2,,,130,,,,,,,130,
,,,,,,,,2,2,,,,,2,
,,,,,,,,2,2,,,,,2,
,,,,,,,,4,4,,,,,4,
,,284,429,441,693,9,"1,856",200,200,139,139,13,13,"2,208",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
