Ethnicity Native Hawaii Only (New),,,,,,,,,,
Spring 2013,,Undergraduate,,,,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Doctoral,Total,,
Agriculture,ALED,1,,,,1,,,1,
,BESC,,,,1,1,,,1,
,NUSC,,,1,1,2,,,2,
,PSSC,,,1,,1,,,1,
,RPTS,1,,,1,2,,,2,
,WFSC,,,2,1,3,,,3,
,Subtotal,2,,4,4,10,,,10,
"Business Admin
Education
Engineering
Liberal Arts",ACCT,,,1,,1,,,1,
,MKTG,,,1,1,2,,,2,
,Subtotal,,,2,1,3,,,3,
,EDHL,,,1,,1,,,1,
,KINE,,,,1,1,,,1,
,Subtotal,,,1,1,2,,,2,
,CECL,,,1,,1,,,1,
,CEEN,,,,1,1,,,1,
,CHEN,,,1,,1,,,1,
,CPSC,,,,,,1,1,1,
,CVEN,,,,1,1,,,1,
,ELEN,,,,1,1,,,1,
,INEN,,,2,,2,,,2,
,MEEN,,,,1,1,,,1,
,OCEN,,,,2,2,,,2,
,PETL,1,,,,1,,,1,
,RHEN,,,,1,1,,,1,
,Subtotal,1,,4,7,12,1,1,13,
,COMM,1,,,,1,,,1,
,ENGL,,,1,,1,,,1,
,INTS,,,,1,1,,,1,
,PSYC,,,,1,1,,,1,
,SOCI,,,,1,1,,,1,
,Subtotal,1,,1,3,5,,,5,
