Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Agriculture,AGEC,503,61,58,,622
,ALEC,"1,172",94,60,,"1,326"
,ANSC,845,62,41,,948
,BAEN,360,47,46,,453
,BCBP,295,3,129,,427
,CLAG,121,,,,121
,ENTO,160,12,44,,216
,ESSM,187,40,35,,262
,HRSC,163,20,18,,201
,NFSC,603,31,25,,659
,PLPM,266,6,26,,298
,POSC,137,25,12,,174
,RPTS,422,30,40,,492
,SCSC,118,42,82,,242
,WFSC,373,61,71,,505
,Subtotal,"5,725",534,687,,"6,946"
Architecture,ARCH,341,99,59,,499
,CLAR,70,,,,70
,COSC,555,58,,,613
,LAUP,179,121,52,,352
,VIZA,215,74,,,289
,Subtotal,"1,360",352,111,,"1,823"
Business Admin,ACCT,739,136,14,,889
,CLBA,"1,838",200,,,"2,038"
,FINC,566,136,14,,716
,INFO,501,145,11,,657
,MGMT,282,31,20,,333
,MKTG,381,38,9,,428
,Subtotal,"4,307",686,68,,"5,061"
