Spring 2013,,Undergraduate,,,,,Doctoral,,Grand Total
,,Freshman,Sophomore,Junior,Senior,Total,Doctoral,Total,
Agriculture,ALEC,1,,,,1,,,1
,NFSC,,,1,1,2,,,2
,PLPM,,,,1,1,,,1
,RPTS,1,,,1,2,,,2
,SCSC,,,1,,1,,,1
,WFSC,,,2,1,3,,,3
,Subtotal,2,,4,4,10,,,10
"Business Admin
Education Engineering
Liberal Arts
Science
Veterinary Medicine",ACCT,,,1,,1,,,1
,MKTG,,,1,1,2,,,2
,Subtotal,,,2,1,3,,,3
,HLKN,,,1,1,2,,,2
,Subtotal,,,1,1,2,,,2
,CHEN,,,1,,1,,,1
,CSCE,,,1,,1,1,1,2
,CVEN,,,,3,3,,,3
,ECEN,,,,2,2,,,2
,ISEN,,,2,,2,,,2
,MEEN,,,,1,1,,,1
,NUEN,,,,1,1,,,1
,PETE,1,,,,1,,,1
,Subtotal,1,,4,7,12,1,1,13
,CLLA,,,,1,1,,,1
,COMM,1,,,,1,,,1
,ENGL,,,1,,1,,,1
,PSYC,,,,1,1,,,1
,SOCI,,,,1,1,,,1
,Subtotal,1,,1,3,5,,,5
,BIOL,,,,1,1,,,1
,MATH,,,1,,1,,,1
,Subtotal,,,1,1,2,,,2
,CLVM,1,,,,1,,,1
