Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Architecture,ARCH,,99,59,,158
,COMG,,58,,,58
,COSC,326,,,,326
,COSL,229,,,,229
,ENDL,197,,,,197
,ENDS,144,,,,144
,LAND,61,38,,,99
,LANL,46,,,,46
,LDEV,,21,,,21
,LPDV,,10,,,10
,URPL,,52,,,52
,URPN,11,,,,11
,URSC,61,,52,,113
,USAR,70,,,,70
,VISL,139,,,,139
,VIST,76,74,,,150
,Subtotal,"1,360",352,111,,"1,823"
Business Admin,ACCT,739,136,14,,889
,AGBU,6,,,,6
,BHNR,154,,,,154
,BUAD,"1,486",67,,,"1,553"
,BUAG,16,,,,16
,EMBA,,97,,,97
,FINC,566,94,14,,674
,INFO,501,,11,,512
,MGMT,282,31,20,,333
,MISY,,145,,,145
,MKTG,381,38,9,,428
,MLER,,42,,,42
,PMBA,,36,,,36
,USBU,176,,,,176
,Subtotal,"4,307",686,68,,"5,061"
