Ethnicity White Only (NEW),,,,,,,,,,,,,,,
Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
Agriculture,ABME,,,,,,,,,1,1,,,1,
,ADEV,,,,,,,22,22,,,,,22,
,AGBL,21,40,40,1,,102,,,,,,,102,
,AGBU,,,43,97,1,141,15,15,,,,,156,
,AGCJ,12,51,85,111,1,260,,,,,,,260,
,AGEC,4,18,66,104,,192,14,14,15,15,,,221,
,AGLS,9,27,34,10,,80,,,,,,,80,
,AGRO,2,9,20,41,,72,13,13,6,6,,,91,
,AGSC,7,16,29,50,3,105,,,,,,,105,
,AGSM,4,25,37,57,,123,4,4,,,,,127,
,ALEC,,,,,,,60,60,44,44,,,104,
,ALED,13,68,172,185,2,440,,,,,,,440,
,ANBR,,,,,,,6,6,3,3,,,9,
,ANSC,90,117,176,265,4,652,35,35,14,14,,,701,
,BAEN,31,30,29,52,1,143,20,20,4,4,,,167,
,BESC,3,21,36,59,1,120,,,,,,,120,
,BICH,17,19,15,37,,88,1,1,38,38,,,127,
,BIOT,,,,,,,1,1,,,,,1,
,CDEV,1,4,3,13,,21,,,,,,,21,
,ECOR,1,5,5,7,1,19,,,,,,,19,
,ENST,2,12,17,12,,43,,,,,,,43,
,ENTO,,4,18,14,2,38,6,6,19,19,,,63,
,FIVL,10,13,9,,,32,,,,,,,32,
,FIVS,,,4,21,,25,,,,,,,25,
,FORS,,6,6,6,,18,3,3,3,3,,,24,
,FSTC,3,8,20,42,2,75,12,12,3,3,,,90,
,GENE,4,11,12,30,,57,4,4,23,23,,,84,
,HORT,3,18,43,61,1,126,10,10,4,4,,,140,
,MEPS,,,,,,,1,1,4,4,,,5,
,NRDV,,,,,,,16,16,,,,,16,
,NUSC,24,74,83,133,6,320,,,,,,,320,
,NUTR,,,,,,,11,11,6,6,,,17,
,PLBR,,,,,,,12,12,17,17,,,29,
,PLPA,,,,,,,2,2,7,7,,,9,
,POSC,8,17,29,46,1,101,12,12,3,3,,,116,
,PREP,,,,,,,5,5,5,5,,,10,
,PSSC,2,6,3,1,,12,,,,,,,12,
,RENR,2,13,16,16,1,48,,,,,,,48,
,RLEM,1,12,8,22,,43,11,11,11,11,,,65,
,RPTS,9,56,106,145,,316,11,11,16,16,,,343,
,RRDV,,,,,,,2,2,,,,,2,
,SOSC,,,,,,,3,3,12,12,,,15,
