Spring 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Engineering,MSEN,17,,7,1,1,,,68,1,95
,NUEL,49,,7,2,16,,4,1,,79
,NUEN,181,,7,7,39,,6,43,2,285
,OCEL,17,,2,1,4,,1,4,,29
,OCEN,66,2,6,2,18,2,4,44,1,145
,PETE,449,3,48,22,81,,7,238,10,858
,PETL,146,2,9,4,31,1,10,12,,215
,RHEL,12,,2,1,6,,,,,21
,RHEN,25,1,3,1,7,1,3,1,,42
,SENG,5,,1,1,,,,7,1,15
,USEN,1,,,,1,,,,,2
,WMHS,1,,,,,,,,,1
,Subtotal,"5,983",25,638,245,"1,528",13,197,"1,996",53,"10,678"
"G. Bush School of Govt
Geosciences",CAIA,35,,1,4,8,,,,1,49
,CHLS,18,,,,1,,,,,19
,CNPM,18,,1,6,3,,1,,,29
,INTA,109,,6,3,15,,6,14,,153
,PSAA,72,2,3,7,11,,2,24,1,122
,Subtotal,252,2,11,20,38,,9,38,2,372
,ATMO,33,,,1,2,,,20,,56
,ENGS,95,1,4,2,19,,2,2,,125
,ENST,71,2,3,3,21,,2,1,1,104
,GEOG,102,1,1,3,20,,2,17,,146
,GEOL,199,,11,5,28,,6,39,2,290
,GEOP,54,,8,1,10,,1,22,1,97
,GEOS,2,,,1,1,,1,2,,7
,MARB,3,,,,,,,,,3
,METL,5,,,,,,,,,5
,METR,89,,3,6,23,,2,1,,124
,OCNG,33,1,1,1,4,,,26,1,67
,SPSG,4,,,,,,,,,4
,USGE,1,,,,,,,,,1
,WMHS,12,,1,,1,,1,13,,28
,Subtotal,703,5,32,23,129,,17,143,5,"1,057"
