Spring 2013,,White Only (NEW),American Indian Only (NEW),Asian Only (NEW),"Black Only
+ 2 or more/1 Black (NEW)",Hispanic or Latino of any Race (NEW),Native Hawaii Only (New),2 or More/Excl uding Black (NEW),Internatio nal,Unknown or Not Reported,Total
Education,SPMT,173,1,2,26,37,,4,5,1,249
,SPSY,20,,3,4,8,,3,2,,40
,TCMG,29,,4,4,19,,,,,56
,TCML,52,,3,4,24,,1,,,84
,TECR,4,,1,1,1,,,,,7
,USEH,3,,,,1,,,,,4
,Subtotal,"3,788",10,123,295,898,2,104,179,11,"5,410"
Engineering,AERL,151,,10,3,64,,10,1,,239
,AERO,319,2,19,4,61,,6,45,2,458
,BIOT,7,,,1,1,,,15,,24
,BMEL,80,,14,,37,,2,,,133
,BMEN,210,1,38,7,42,,13,34,4,349
,CECL,85,,12,7,45,1,3,2,,155
,CECN,113,1,19,5,16,,3,78,,235
,CEEL,51,,8,2,31,,2,5,1,100
,CEEN,72,,11,4,20,1,4,98,1,211
,CHEL,120,1,15,5,30,,8,1,,180
,CHEN,290,1,57,15,60,1,12,91,4,531
,CPSC,223,1,30,13,40,1,7,129,5,449
,CPSL,112,1,17,11,45,,6,7,1,200
,CVEL,123,,6,4,41,,3,2,,179
,CVEN,540,1,31,13,110,1,4,200,2,902
,ELEL,187,,29,10,74,,8,26,,334
,ELEN,278,1,89,15,102,1,18,362,7,873
,ENGR,2,,3,,1,,,,,6
,ENSM,7,,1,3,2,,,1,,14
,ENTC,185,,12,11,57,,5,2,,272
,ENTL,113,,12,10,46,,2,6,1,190
,HLPH,8,,,2,,,,1,,11
,IDIL,95,1,1,1,19,,4,,,121
,IDIS,346,,11,11,59,,7,7,1,442
,INEL,95,1,3,3,36,,2,15,,155
,INEN,307,2,39,22,110,2,14,179,4,679
,ITDE,,,1,,,,,,,1
,MEEL,209,,8,6,55,,6,6,1,291
,MEEN,686,3,50,15,120,1,13,265,4,"1,157"
