Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Engineering,AERL,239,,,,239
,AERO,338,39,81,,458
,BIOT,,24,,,24
,BMEL,133,,,,133
,BMEN,251,17,81,,349
,CECL,155,,,,155
,CECN,154,33,48,,235
,CEEL,100,,,,100
,CEEN,103,74,34,,211
,CHEL,180,,,,180
,CHEN,427,10,94,,531
,CPSC,273,87,89,,449
,CPSL,200,,,,200
,CVEL,179,,,,179
,CVEN,600,162,140,,902
,ELEL,334,,,,334
,ELEN,454,129,290,,873
,ENGR,,,6,,6
,ENSM,,14,,,14
,ENTC,272,,,,272
,ENTL,190,,,,190
,HLPH,,11,,,11
,IDIL,121,,,,121
,IDIS,403,39,,,442
,INEL,155,,,,155
,INEN,482,144,53,,679
,ITDE,,,1,,1
,MEEL,291,,,,291
,MEEN,761,162,234,,"1,157"
,MSEN,,12,83,,95
,NUEL,79,,,,79
,NUEN,162,53,70,,285
