Ethnicity Native Hawaii Only (New),,,,,,,,,,
Spring 2013,,Undergraduate,,,,,Doctoral,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,Total,Doctoral,Total,,
"Science                                  BIOL
MATH
Subtotal",,,,,1,1,,,1,
,,,,1,,1,,,1,
,,,,1,1,2,,,2,
"Veterinary Medicine General Studies
University",BIMS,1,,,,1,,,1,
,"Subtotal GEST TEAM
Subtotal
Total",1,,,,1,,,1,
,,1,1,,,2,,,2,
,,1,,,,1,,,1,
,,2,1,,,3,,,3,
,,7,1,13,17,38,1,1,39,
"Prepared by DARS, 20 Feb 13",,,,,,,,,,
