Spring 2013,,Undergrad uate,Masters,Doctoral,Profession al,Total
Education,CLED,11,,,,11
,EAHR,394,143,236,,773
,EPSY,240,73,163,,476
,HLKN,"2,341",152,86,,"2,579"
,TLAC,"1,187",232,152,,"1,571"
,Subtotal,"4,173",600,637,,"5,410"
Engineering,AERO,577,39,81,,697
,BMEN,384,18,85,,487
,CHEN,607,51,106,,764
,CLEN,2,,7,,9
,CSCE,782,120,137,,"1,039"
,CVEN,898,194,164,,"1,256"
,ECEN,991,204,328,,"1,523"
,ETID,986,39,,,"1,025"
,ISEN,637,158,53,,848
,MEEN,"1,052",169,296,,"1,517"
,NUEN,304,65,71,,440
,PETE,727,236,110,,"1,073"
,Subtotal,"7,947","1,293","1,438",,"10,678"
G. Bush School of Govt Geosciences,BUSH,,372,,,372
,Subtotal,,372,,,372
,ATMO,129,24,33,,186
,CLGE,126,2,,,128
,GEOG,198,39,42,,279
,GEPL,257,77,59,,393
,OCNG,,17,54,,71
,Subtotal,710,159,188,,"1,057"
