Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total,
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,,
"Veterinary Medicine            CLVM VIBS VLCS VSCS VTPB VTPP
Subtotal",,202,259,219,322,,"1,002",10,10,4,4,449,449,"1,465",
,,,,,,,,17,17,14,14,,,31,
,,,,,,,,10,10,3,3,,,13,
,,,,,,,,2,2,2,2,,,4,
,,,,,,,,5,5,20,20,,,25,
,,,,,,,,5,5,8,8,,,13,
,,202,259,219,322,,"1,002",49,49,51,51,449,449,"1,551",
"General Studies
Other - Special Populations
University",GEST,994,907,21,,,"1,922",,,,,,,"1,922",
,"Subtotal CLMD MARA MARB MARS SABX SRPH
Subtotal
Total",994,907,21,,,"1,922",,,,,,,"1,922",
,,,,,,,,2,2,,,,,2,
,,,,,1,,1,,,,,,,1,
,,,,,1,,1,,,,,,,1,
,,,,,1,,1,,,,,,,1,
,,,,,1,,1,,,,,,,1,
,,,,,,,,12,12,,,,,12,
,,,,,4,,4,14,14,,,,,18,
,,"3,398","5,950","6,458","10,100",88,"25,994","2,265","2,265","1,594","1,594",449,449,"30,302",
"Prepared by DARS, 20 Feb 13",,,,,,,,,,,,,,,
