Spring 2013,,Tuition Status,,,,,,,,
,,Resident Tuition,,Non-Resident  Tuition,,Tuition Exemption/Waiver,,Total,,
"Liberal Arts                          Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident",,"6,504",92.8%,7,2.7%,0,.0%,"6,511",89.6%,
,,365,5.2%,113,43.6%,0,.0%,478,6.6%,
,,136,1.9%,139,53.7%,0,.0%,275,3.8%,
"Science
Veterinary  Medicine
General Studies
Other - Special Populations
Total",Texas Resident,"2,433",80.2%,4,3.5%,0,.0%,"2,437",77.5%,
,"Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident
Texas Resident
Non-TX, US Resident
Non-TX, Non-US Resident",234,7.7%,46,40.4%,0,.0%,280,8.9%,
,,365,12.0%,64,56.1%,0,.0%,429,13.6%,
,,"2,168",94.9%,3,9.1%,0,.0%,"2,171",93.7%,
,,77,3.4%,23,69.7%,0,.0%,100,4.3%,
,,39,1.7%,7,21.2%,0,.0%,46,2.0%,
,,"2,769",98.4%,2,3.0%,0,.0%,"2,771",96.2%,
,,41,1.5%,51,77.3%,0,.0%,92,3.2%,
,,4,.1%,13,19.7%,0,.0%,17,.6%,
,,25,69.4%,2,2.8%,0,.0%,27,25.2%,
,,5,13.9%,3,4.2%,0,.0%,8,7.5%,
,,6,16.7%,66,93.0%,0,.0%,72,67.3%,
,,"40,348",90.1%,70,3.1%,0,.0%,"40,418",85.9%,
,,"1,883",4.2%,655,28.5%,0,.0%,"2,538",5.4%,
,,"2,535",5.7%,"1,570",68.4%,0,.0%,"4,105",8.7%,
"Prepared by DARS, 2/20/2013",,,,,,,,,,
