Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
G. Bush School of Govt,CAIA,,,,,,,8,8,,,,,8
,CHLS,,,,,,,1,1,,,,,1
,CNPM,,,,,,,3,3,,,,,3
,INTA,,,,,,,15,15,,,,,15
,PSAA,,,,,,,11,11,,,,,11
,Subtotal,,,,,,,38,38,,,,,38
Geosciences,ATMO,,,,,,,1,1,1,1,,,2
,ENGS,4,2,6,7,,19,,,,,,,19
,ENST,4,5,7,5,,21,,,,,,,21
,GEOG,1,,5,7,,13,5,5,2,2,,,20
,GEOL,2,3,8,11,,24,3,3,1,1,,,28
,GEOP,2,2,3,1,,8,1,1,1,1,,,10
,GEOS,,,,,,,1,1,,,,,1
,METR,5,3,4,10,1,23,,,,,,,23
,OCNG,,,,,,,3,3,1,1,,,4
,WMHS,,,,,,,1,1,,,,,1
,Subtotal,18,15,33,41,1,108,15,15,6,6,,,129
Liberal Arts,ANTH,3,11,12,29,,55,,,5,5,,,60
,CLSS,,1,1,1,,3,,,,,,,3
,COMM,9,27,37,36,,109,,,4,4,,,113
,ECON,7,17,33,45,,102,2,2,,,,,104
,ENGL,9,26,36,52,,123,1,1,9,9,,,133
,HISP,,,,,,,,,20,20,,,20
,HIST,6,22,29,49,,106,,,8,8,,,114
,INTS,11,28,48,69,,156,,,,,,,156
,MODL,1,1,,,,2,1,1,,,,,3
,MUSC,1,1,,1,,3,,,,,,,3
,NRSC,,,,,,,,,3,3,,,3
,PERF,,,,,,,1,1,,,,,1
,PHIL,1,7,6,5,,19,2,2,3,3,,,24
,POLS,27,47,40,45,1,160,,,3,3,,,163
,PSYC,28,67,88,106,,289,,,14,14,,,303
,RUSS,,,,1,,1,,,,,,,1
,SOCI,7,25,29,38,,99,5,5,26,26,,,130
,SPAN,3,10,11,19,,43,,,,,,,43
,TCMS,7,7,10,11,,35,,,,,,,35
,THAR,1,4,2,3,,10,,,,,,,10
,USLA,,2,1,2,,5,,,,,,,5
,WGST,,3,2,3,,8,,,,,,,8
,Subtotal,121,306,385,515,1,"1,328",12,12,95,95,,,"1,435"
