Spring 2013,,Undergraduate,,,,,,Masters,,Doctoral,,Professional,,Grand Total
,,Freshman,Sophomore,Junior,Senior,PB,Total,Masters,Total,Doctoral,Total,Profession al Veterinary,Total,
Agriculture,AGEC,,,1,,,1,,,,,,,1
,ALEC,,2,2,6,,10,1,1,,,,,11
,ANSC,,2,3,2,,7,,,,,,,7
,BCBP,,,,1,,1,,,1,1,,,2
,ENTO,,1,,1,,2,,,,,,,2
,ESSM,,,,1,,1,,,,,,,1
,POSC,,,,1,,1,,,,,,,1
,RPTS,,,,1,,1,,,,,,,1
,Subtotal,,5,6,13,,24,1,1,1,1,,,26
"Architecture Business Admin
Education
Engineering
G. Bush School of Govt Geosciences",COSC,,1,1,1,,3,,,,,,,3
,Subtotal,,1,1,1,,3,,,,,,,3
,CLBA,2,1,,1,,4,1,1,,,,,5
,FINC,,,1,1,,2,,,,,,,2
,INFO,,,,2,,2,,,,,,,2
,Subtotal,2,1,1,4,,8,1,1,,,,,9
,EAHR,,,,1,,1,,,1,1,,,2
,HLKN,,,2,1,,3,,,,,,,3
,TLAC,1,1,,,,2,2,2,1,1,,,5
,Subtotal,1,1,2,2,,6,2,2,2,2,,,10
,AERO,,,2,,,2,,,,,,,2
,BMEN,,,1,,,1,,,,,,,1
,CHEN,,1,1,,,2,,,,,,,2
,CSCE,,2,1,,,3,,,,,,,3
,CVEN,,,1,1,,2,,,1,1,,,3
,ECEN,,,,1,,1,,,,,,,1
,ETID,,1,,,,1,,,,,,,1
,ISEN,,1,1,1,,3,,,,,,,3
,MEEN,,,,2,,2,,,1,1,,,3
,NUEN,,,,1,,1,,,,,,,1
,PETE,1,,2,,,3,2,2,,,,,5
,Subtotal,1,5,9,6,,21,2,2,2,2,,,25
,BUSH,,,,,,,2,2,,,,,2
,Subtotal,,,,,,,2,2,,,,,2
,CLGE,,,,1,,1,,,,,,,1
,GEOG,,,1,1,1,3,,,,,,,3
,OCNG,,,,,,,,,1,1,,,1
,Subtotal,,,1,2,1,4,,,1,1,,,5
